prestashop_product_id,shobi_code,inspired_by,fragrantica_id,fragrantica_url,image_url,local_path,status,detail
1249,363-TMFO,OUD MINERALΕ,45192,https://www.fragrantica.com/perfume/Tom-Ford/Oud-Minerale-45192.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.45192.avif,perfume-images/45192.avif,DOWNLOADED,image/avif
1903,538-DRC,MISS EAU DE PARFUM (2017),45202,https://www.fragrantica.com/perfume/Dior/Miss-Dior-Eau-de-Parfum-2017-45202.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.45202.avif,perfume-images/45202.avif,DOWNLOADED,image/avif
546,440-BLG,GOLDEA THE ROMAN NIGHT,45241,https://www.fragrantica.com/perfume/Bvlgari/Goldea-The-Roman-Night-45241.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.45241.avif,perfume-images/45241.avif,DOWNLOADED,image/avif
730,650-ARM,BECAUSE IT'S YOU,45257,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Because-It-s-You-45257.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.45257.avif,perfume-images/45257.avif,DOWNLOADED,image/avif
227,1136-ARM,STRONGER WITH YOU,45258,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Stronger-With-You-45258.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.45258.avif,perfume-images/45258.avif,DOWNLOADED,image/avif
505,394-AGE,APHRODISIAQUE - AGENT PROVOCATEUR,45363,https://www.fragrantica.com/perfume/Agent-Provocateur/Aphrodisiaque-45363.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.45363.avif,perfume-images/45363.avif,DOWNLOADED,image/avif
2688,,danat al duniya ajmal,45398,https://www.fragrantica.com/perfume/Ajmal/Danat-Al-Duniya-45398.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.45398.avif,perfume-images/45398.avif,DOWNLOADED,image/avif
2309,1539-ORT,terroni orto parisi aroma,45475,https://www.fragrantica.com/perfume/Orto-Parisi/Terroni-45475.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.45475.avif,perfume-images/45475.avif,DOWNLOADED,image/avif
671,582-DON,nectar love dkny,45499,https://www.fragrantica.com/perfume/Donna-Karan/DKNY-Nectar-Love-45499.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.45499.avif,perfume-images/45499.avif,DOWNLOADED,image/avif
4084,2354-CRD,White Amber,45599,https://www.fragrantica.com/perfume/Creed/White-Amber-45599.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.45599.avif,perfume-images/45599.avif,DOWNLOADED,image/avif
957,923-TMU,notes AURA,45639,https://www.fragrantica.com/perfume/Mugler/Aura-Mugler-45639.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.45639.avif,perfume-images/45639.avif,DOWNLOADED,image/avif
790,724-GUL,SCANDAL,45651,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Scandal-45651.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.45651.avif,perfume-images/45651.avif,DOWNLOADED,image/avif
1936,589-ELI,girl of now elie saab,45686,https://www.fragrantica.com/perfume/Elie-Saab/Girl-of-Now-45686.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.45686.avif,perfume-images/45686.avif,DOWNLOADED,image/avif
1242,354-TMFO,NOIR ANTHRACITE,45691,https://www.fragrantica.com/perfume/Tom-Ford/Noir-Anthracite-45691.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.45691.avif,perfume-images/45691.avif,DOWNLOADED,image/avif
295,1213-MNTB,LEGEND NIGHT - MONT BLANC,45692,https://www.fragrantica.com/perfume/Montblanc/Legend-Night-45692.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.45692.avif,perfume-images/45692.avif,DOWNLOADED,image/avif
540,434-BRB,MY BURBERRY BLUSH,45820,https://www.fragrantica.com/perfume/Burberry/My-Burberry-Blush-45820.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.45820.avif,perfume-images/45820.avif,DOWNLOADED,image/avif
1762,1188-KAR,bois de vetiver karl lagerfeld,45857,https://www.fragrantica.com/perfume/Karl-Lagerfeld/Bois-de-Vetiver-45857.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.45857.avif,perfume-images/45857.avif,DOWNLOADED,image/avif
1931,993-ZAD,JUST ROCK FOR HER - ZADIG & VOLTAIRE,45862,https://www.fragrantica.com/perfume/Zadig-Voltaire/Just-Rock-for-Her-45862.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.45862.avif,perfume-images/45862.avif,DOWNLOADED,image/avif
110,1008-ACQ,COLONIA PURA (U),45876,https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Colonia-Pura-45876.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.45876.avif,perfume-images/45876.avif,DOWNLOADED,image/avif
836,784-LAN,LA VIE EST BELLE L'ECLAT,45892,https://www.fragrantica.com/perfume/Lancome/La-Vie-est-Belle-L-Eclat-45892.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.45892.avif,perfume-images/45892.avif,DOWNLOADED,image/avif
4253,2540-COM,Concrete Comme des Garcons,45911,https://www.fragrantica.com/perfume/Comme-des-Garcons/Concrete-45911.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.45911.avif,perfume-images/45911.avif,DOWNLOADED,image/avif
1832,116-EXN,midnight special-ex nihilo,45957,https://www.fragrantica.com/perfume/Ex-Nihilo/Midnight-Special-45957.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.45957.avif,perfume-images/45957.avif,DOWNLOADED,image/avif
