shobi_code,brand,perfume,current_status,fragrantica_status
2816-MOOD,Mood London,Blonde Maracuja Mood London,MAPPED_NOT_IN_CORPUS,UNRESOLVED
2701-DIP,Diptyque,Cafe Verlet,NOT_FOUND,UNRESOLVED
2584-GIV,Givenchy,Eau de,NOT_FOUND,UNRESOLVED
2586-DIP,Diptyque,Biscuit DIP,NOT_FOUND,UNRESOLVED
2415-ESC,Escada,SEXY GRAFFITY - ESCADA,NOT_FOUND,UNRESOLVED
2418-ACQ,Acqua di Parma,VANIGLIA SIGNATURE,NOT_FOUND,UNRESOLVED
2288-BAT,Bath Body Works,BLACK RASBERRY VANILLA - BATH BODY WORKS,AMBIGUOUS,NOT_FOUND
2377-VICT,Victoria s Secret,Vanilla Lace,AMBIGUOUS,NOT_FOUND
2314-CAR,Carolina Herrera,UNDER THE SEA WOMAN,AMBIGUOUS,NOT_FOUND
2310-CAR,Carolina Herrera,UNDER THE SEA MAN,AMBIGUOUS,NOT_FOUND
2309-ATKI,Atkinsons,Oud-save-the-queen-eau-de-,AMBIGUOUS,NOT_FOUND
2284-HIS,Histoires de Parfums,1889 - Moulin Rouge,NOT_FOUND,NOT_FOUND
2148-BAT,Bath Body Works,Pure-wonder-eau-de-,AMBIGUOUS,NOT_FOUND
2137-ROJ,Roja Parfums,GREAT BRITAIN - ROJA DOVE,NOT_FOUND,NOT_FOUND
2055-BAT,Bath Body Works,Dream-bright-eau-de-,AMBIGUOUS,NOT_FOUND
2112-GUC,Gucci,Rush Man,AMBIGUOUS,NOT_FOUND
2036-GIS,Gisada,Ambassador Men Eau de Parfum,NOT_FOUND,NOT_FOUND
2094-SHIS,Shiseido,Ever Bloom,NOT_FOUND,NOT_FOUND
2098-MIC,Michael Kors,Twilight Shimmer,NOT_FOUND,NOT_FOUND
2096-KEN,Kenzo,Parfum D Ete,AMBIGUOUS,NOT_FOUND
2051-PRFRO,Profumum Roma,Acqua Di Sale,NOT_FOUND,NOT_FOUND
2085-CLIV,Clive Christian,X NEROLI LIMITED EDITION - CLIVE CHRISTIAN,NOT_FOUND,NOT_FOUND
2028-ZARK,Zarko Perfume,Youth,NOT_FOUND,NOT_FOUND
2021-ROJ,Roja Parfums,Apex Roja Dove,NOT_FOUND,NOT_FOUND
1984-ATTAR,Attar Collection,Musk Kashmir,NOT_FOUND,NOT_FOUND
2016-PARELM,Parfums d'Elmar,Elixir d'Amour,NOT_FOUND,NOT_FOUND
1926-KOS,Thomas Kosmala,No. 4 Après l’Amour Eau de Parfum,NOT_FOUND,NOT_FOUND
1988-THEVE,The Merchant Of Venice,Arabesque,NOT_FOUND,NOT_FOUND
1987-SON,Sonia Rykiel,Le Parfum,NOT_FOUND,NOT_FOUND
1985-WID,Widian,GOLD II SAHARA - WIDIAN,NOT_FOUND,NOT_FOUND
1958-DRC,Dior,Bois-d-argent-eau-de-,NOT_FOUND,NOT_FOUND
1981-KHAL,Khaltat,Grá,NOT_FOUND,NOT_FOUND
1980-HIND,Hind Al Oud,Emarati Musk Parfum,NOT_FOUND,NOT_FOUND
1977-SHIS,Shiseido,Ginza (2021),NOT_FOUND,NOT_FOUND
1975-ZARK,ZARKOPERFUME,PINK MOLéCULE 090.09 Eau de Parfum,NOT_FOUND,NOT_FOUND
1958-DRC,Dior,Bois-d-argent-eau-de-,AMBIGUOUS,NOT_FOUND
401-ARIA,Ariana Grande,Cloud-eau-de-,NOT_FOUND,NOT_FOUND
111-BAC,Baccarat,Rouge 540,NOT_FOUND,NOT_FOUND
2012-DOL,Dolce & Gabbana,Q QUEEN,NOT_FOUND,NOT_FOUND
2017-DIE,Diesel,D,AMBIGUOUS,NOT_FOUND
2018-ARM,Giorgio Armani,the notes CODE PARFUM,NOT_FOUND,NOT_FOUND
1996-LTN,Louis Vuitton,Heures d’Absence (2020),NOT_FOUND,NOT_FOUND
1998-LTN,Louis Vuitton,Citrus fragrance for women and men,AMBIGUOUS,NOT_FOUND
1929-BLG,Bvlgari,Le-gemme-tygar-eau-de-,NOT_FOUND,NOT_FOUND
1921-VIV,Vivienne Westwood,Boudoir-,NOT_FOUND,NOT_FOUND
1968-DOL,Dolce & Gabbana,LIGHT BLUE ITALIAN LOVE W,NOT_FOUND,NOT_FOUND
1927-AMG,Amouage,HONOUR - AMOUAGE,NOT_FOUND,NOT_FOUND
1899-ZARK,Zarko Perfume,The-muse,NOT_FOUND,NOT_FOUND
1756-LBI,Laura Biagiotti,ROMA - LAURA BIAGIOTTI,NOT_FOUND,NOT_FOUND
1743-LBI,Laura Biagiotti,Sotto Voce,NOT_FOUND,NOT_FOUND
