shobi_code,brand,perfume,current_status,fragrantica_status
868-PARH,Paris Hilton,Heiress Limited Edition Eau de Parfum (2015),NOT_FOUND,NOT_FOUND
857-ONE,One Direction,You  I,NOT_FOUND,NOT_FOUND
856-NIN,Nina Ricci,Ricci Ricci,NOT_FOUND,NOT_FOUND
855-NIN,Nina Ricci,Premier Jour,NOT_FOUND,NOT_FOUND
853-NIN,Nina Ricci,NINA,NOT_FOUND,NOT_FOUND
852-NIN,Nina Ricci,Luna,AMBIGUOUS,NOT_FOUND
851-NIN,Nina Ricci,L Extase,NOT_FOUND,NOT_FOUND
843-NRO,Narciso Rodriguez,FOR HER PINK EAU DE TOILETTE - RODRIGUEZ,NOT_FOUND,NOT_FOUND
841-NRO,Narciso Rodriguez,FLEUR MUSK FOR HER - RODRIGUEZ,NOT_FOUND,NOT_FOUND
840-NAO,Naomi Campbell,Naomi Campbell,NOT_FOUND,NOT_FOUND
831-MOS,Moschino,Cheap And Chic,AMBIGUOUS,NOT_FOUND
829-MNTB,Montblanc,FEMME - MONT BLANC,NOT_FOUND,NOT_FOUND
827-MISN,Missoni,Missoni,NOT_FOUND,NOT_FOUND
825-MIC,Michael Kors,Wonderlust,NOT_FOUND,NOT_FOUND
824-MIC,Michael Kors,Gold Collection  White Luminous Gold,NOT_FOUND,NOT_FOUND
823-MIC,Michael Kors,Sporty Citrus,NOT_FOUND,NOT_FOUND
822-MIC,Michael Kors,Sexy-ruby-glam-ruby,NOT_FOUND,NOT_FOUND
821-MIC,Michael Kors,SEXY SUNSET - KORS,NOT_FOUND,NOT_FOUND
820-MIC,Michael Kors,SEXY RIO DE JANEIRO KORS,NOT_FOUND,NOT_FOUND
819-MIC,Michael Kors,SEXY AMBER - KORS,NOT_FOUND,NOT_FOUND
818-MIC,Michael Kors,Michael Kors Coral,AMBIGUOUS,NOT_FOUND
817-MIC,Michael Kors,Gold Collection  24k Brilliant Gold,NOT_FOUND,NOT_FOUND
816-MAX,Max Mara,MAX MARA,NOT_FOUND,NOT_FOUND
807-LOL,Lolita Lempicka,LOLITA - LOLITA LEMPICKA,NOT_FOUND,NOT_FOUND
806-LOL,Lolita Lempicka,L Eau Jolie,NOT_FOUND,NOT_FOUND
805-LOL,Lolita Lempicka,L DE LOLITA LEMPICKA,NOT_FOUND,NOT_FOUND
801-LANV,Lanvin,Marry Me,NOT_FOUND,NOT_FOUND
800-LANV,Lanvin,Me,NOT_FOUND,NOT_FOUND
799-LANV,Lanvin,Eclat-d-arpege-eau-de-,NOT_FOUND,NOT_FOUND
772-LAD,Lady Gaga,Fame,NOT_FOUND,NOT_FOUND
771-LAP,La Prairie,Silver Rain,NOT_FOUND,NOT_FOUND
770-LAP,La Prairie,Midnight Rain,NOT_FOUND,NOT_FOUND
755-KEN,Kenzo,SUMMER - KENZO,AMBIGUOUS,NOT_FOUND
746-KAR,Karl Lagerfeld,Ocean View,NOT_FOUND,NOT_FOUND
745-KAR,Karl Lagerfeld,Karl Lagerfeld for Her Eau de Parfum,NOT_FOUND,NOT_FOUND
744-JUS,Justin Bieber,The Key,NOT_FOUND,NOT_FOUND
743-JUS,Justin Bieber,Girlfriend,NOT_FOUND,NOT_FOUND
742-JUI,Juicy Couture,VIVA LA JUICY SUCRE - COUTURE,NOT_FOUND,NOT_FOUND
741-JUI,Juicy Couture,Viva La Juicy Rosé,NOT_FOUND,NOT_FOUND
739-JUI,Juicy Couture,Viva La Juicy Gold Couture,NOT_FOUND,NOT_FOUND
737-JUI,Juicy Couture,Malibu,NOT_FOUND,NOT_FOUND
736-JUI,Juicy Couture,Couture Couture,NOT_FOUND,NOT_FOUND
729-JIM,Jimmy Choo,Blossom,AMBIGUOUS,NOT_FOUND
727-JEN,Jennifer Lopez,JLuxe,NOT_FOUND,NOT_FOUND
717-ISS,Issey Miyake,CLASSIC - ISSEY MIYAKE,AMBIGUOUS,NOT_FOUND
714-HUG,Hugo Boss,BOSS The Scent for Her Eau de Parfum,AMBIGUOUS,NOT_FOUND
713-HUG,Hugo Boss,MA VIE - HUGO BOSS,AMBIGUOUS,NOT_FOUND
710-HUG,Hugo Boss,BOSS JOUR - HUGO BOSS,AMBIGUOUS,NOT_FOUND
695-GUE,Guess,Dare,NOT_FOUND,NOT_FOUND
681-GUC,Gucci,Rush,AMBIGUOUS,NOT_FOUND
