shobi_code,brand,perfume,current_status,fragrantica_status
346-TMFO,Tom Ford,Fucking Fabulous Eau de Parfum (2017),NOT_FOUND,NOT_FOUND
344-TMFO,Tom Ford,COSTA AZZURA,AMBIGUOUS,NOT_FOUND
336-THCO,The White Company,NARCISSUS NOIR - THE WHITE COMPANY,NOT_FOUND,NOT_FOUND
335-THCO,The White Company,CASHMERE BLANC - THE WHITE COMPANY,NOT_FOUND,NOT_FOUND
332-RAM,Ramón Monegal,Dry Wood,NOT_FOUND,NOT_FOUND
327-PECK,Pecksniff's,MISTRAAL - PECKSNIFF'S Perfumes,NOT_FOUND,NOT_FOUND
326-PECK,Pecksniff's,CALM - PECKSNIFF'S,NOT_FOUND,NOT_FOUND
325-PECK,Pecksniff's,BLACK OAK & CEDAR - PECKSNIFF'S,NOT_FOUND,NOT_FOUND
316-MNT,Montale,AOUD VELVET Fragrance,NOT_FOUND,NOT_FOUND
313-MOL,Molton Brown,thai vert-mol,NOT_FOUND,NOT_FOUND
312-MOL,Molton Brown,black pepper-molΞυλώδες Πικάντικο,NOT_FOUND,NOT_FOUND
311-MOL,Molton Brown,amber cocoon-mol,NOT_FOUND,NOT_FOUND
309-LOC,L'Occitane,MAGNOLIA & MURE - L' OCCITANE,NOT_FOUND,NOT_FOUND
308-LOC,L'Occitane,CITRUS VERBENA - L' OCCITANE,NOT_FOUND,NOT_FOUND
307-LOC,L'Occitane,PEONY - L' OCCITANE,NOT_FOUND,NOT_FOUND
301-JOM,Jo Malone,Wild Fig & Cassis Jo Malone,NOT_FOUND,NOT_FOUND
295-JOM,Jo Malone,VETYVER - JO MALONE,NOT_FOUND,NOT_FOUND
289-JOM,Jo Malone,SWEET ALMON & MACARRON - JO MALONE,NOT_FOUND,NOT_FOUND
287-JOM,Jo Malone,Silk Blossom,AMBIGUOUS,NOT_FOUND
286-JOM,Jo Malone,SHARDS OF CEDAR & RED THYME - JO MALONE,NOT_FOUND,NOT_FOUND
282-JOM,Jo Malone,POMELO - JO MALONE,AMBIGUOUS,NOT_FOUND
279-JOM,Jo Malone,PINK VETIVER - JO MALONE,NOT_FOUND,NOT_FOUND
267-JOM,Jo Malone,MIMOSA & CARDAMON - JO MALONE,NOT_FOUND,NOT_FOUND
261-JOM,Jo Malone,INCENSE & EMBERS - JO MALONE,NOT_FOUND,NOT_FOUND
258-JOM,Jo Malone,GREEN TOMATO LEAF - JO MALONE,NOT_FOUND,NOT_FOUND
257-JOM,Jo Malone,GREEN ORANGE & CORIANDER - JO MALONE,NOT_FOUND,NOT_FOUND
254-JOM,Jo Malone,GARDENIA - JO MALONE,AMBIGUOUS,NOT_FOUND
249-JOM,Jo Malone,Earl Grey  Cucumber,AMBIGUOUS,NOT_FOUND
247-JOM,Jo Malone,The Herb Garden  Carrot Blossom  Fennel,AMBIGUOUS,NOT_FOUND
243-JOM,Jo Malone,Black Cedarwood  Juniper,NOT_FOUND,NOT_FOUND
240-JOM,Jo Malone,Amber & Patchouli - Jo Malone,AMBIGUOUS,NOT_FOUND
238-JOM,Jo Malone,A Shot Of Oud Over Mango - Jo Malone,NOT_FOUND,NOT_FOUND
237-JOM,Jo Malone,A Shot Of Thai Over Mango - Jo Malone,NOT_FOUND,NOT_FOUND
193-ARM,Giorgio Armani,ROYAL OUD,AMBIGUOUS,NOT_FOUND
234-ESCE,Escentric Molecules,Escentric 04,NOT_FOUND,NOT_FOUND
232-ESCE,Escentric Molecules,Escentric 01,NOT_FOUND,NOT_FOUND
230-DIP,Diptyque,OPOPANAX,NOT_FOUND,NOT_FOUND
228-DIP,Diptyque,FEUILLE DE LAVANDE,NOT_FOUND,NOT_FOUND
227-DIP,Diptyque,FEU DE BOIS / WOOD FIRE,NOT_FOUND,NOT_FOUND
225-DIP,Diptyque,EL EAU DES SENS,NOT_FOUND,NOT_FOUND
223-DIP,Diptyque,BAIES,NOT_FOUND,NOT_FOUND
222-DIP,Diptyque,AMBRE,AMBIGUOUS,NOT_FOUND
204-CRD,Creed,Avent,NOT_FOUND,NOT_FOUND
994-ZAD,Zadig  Voltaire,This Is Her,NOT_FOUND,NOT_FOUND
992-ZAD,Zadig  Voltaire,Girls Can Do Anything,NOT_FOUND,NOT_FOUND
986-YZLO,Yves Saint Laurent,OPIUM,NOT_FOUND,NOT_FOUND
965-VICT,Victoria's Secret,SEXY LITTLE THINGS-NOIR TEASE TEMPTATION - VICTORIA'S SECRET,AMBIGUOUS,NOT_FOUND
964-VICT,Victoria s Secret,Scandalous,AMBIGUOUS,NOT_FOUND
960-VICT,Victoria's Secret,LOVE ME - VICTORIA'S SECRET,NOT_FOUND,NOT_FOUND
959-VICT,Victoria s Secret,Forbidden,AMBIGUOUS,NOT_FOUND
