prestashop_product_id,shobi_code,inspired_by,original_brand,original_perfume,identity_status,fragrantica_status,fragrantica_id,fragrantica_url,social_card_url,local_path,card_status,bytes,sha256,error
4257,2539-CRIVEL,Tubéreuse Astrale Maison Crivelli,Maison Crivelli,Tubereuse-astrale,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4256,2538-GUL,Le Male Lover,Jean Paul Gaultier,Le-male-lover,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4255,2520-PEN,Empressa,Penhaligon's,Empressa Eau de Parfum,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4254,2521-SOL,Carioca Crush Sol de Janeiro,Sol de Janeiro,Carioca-crush,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4253,2540-COM,Concrete Comme des Garcons,Comme des Garons,Concrete,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4252,2541-STE,God of Fire Stéphane Humbert,Stephane Humbert Lucas,God-of-fire,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4251,2481-MARG,When the Rain Stops,Maison Margiela,When-the-rain-stops-1,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4250,2478-MARG,Untitled,Maison Margiela,Untitled,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4247,2477-MARG,Whispers in the Library,Maison Margiela,Whispers-in-the-library,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4246,2476-MARG,At The Barber's,Maison Margiela,At-the-barber-s,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4245,2522-VIC,Spicebomb Dark Leather,Viktor Rolf,Spicebomb-dark-leather,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4244,2519-MNT,Starry Nights Montale,Montale,Starry Nights,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4243,2517-MNTB,Legend Blue Montblanc,Montblanc,Legend-blue,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
