prestashop_product_id,shobi_code,fragrantica_id,gender,gender_source,gender_ocr_text,winter,spring,summer,fall,main_season,season_confidence,season_margin,local_path
1246,360-TMFO,30957,,OCR_UNRESOLVED,noir pour femme fom fo fe ee atta main accords nolr pour kemme fens aare ee tom ford f ae main accords ih,0.4963,0.1218,0.1074,0.4649,winter,MEDIUM,0.0314,fragrantica-scraper-archive/social-cards/images/1246_360-TMFO_30957.jpeg
1245,359-TMFO,29675,,OCR_UNRESOLVED,faerie st noir extreme tom ford reece formen main accords fy ses noir extreme tom ford formen main accords fy,0.4778,0.1328,0.1074,0.4649,TIE,TIE,0.0128,fragrantica-scraper-archive/social-cards/images/1245_359-TMFO_29675.jpeg
1122,219-CRD,41698,,OCR_UNRESOLVED,lil pig etm seer creed areas formen main accords oy viiking ee creed anes formen main accords,0.3370,0.3653,0.2741,0.3616,TIE,TIE,0.0037,fragrantica-scraper-archive/social-cards/images/1122_219-CRD_41698.jpeg
1121,218-CRD,7515,,OCR_UNRESOLVED,peart vetiver creed ee ts formen main accords citrus a vetiver creed oes formen main accords citrus,0.1259,0.3875,0.3741,0.2878,TIE,TIE,0.0134,fragrantica-scraper-archive/social-cards/images/1121_218-CRD_7515.jpeg
1114,210-CRD,474,,OCR_UNRESOLVED,green irish weed creed es formen main accords ozonic fy care green irish weed creed op fe formen main accords ozonic fy,0.1259,0.3985,0.3778,0.2878,spring,MEDIUM,0.0207,fragrantica-scraper-archive/social-cards/images/1114_210-CRD_474.jpeg
1110,204-CRD,9828,,OCR_UNRESOLVED,eee aeatale teh ems hy aventus creed aig eaees formen main accords aaa aventus creed formen main accords om,0.1519,0.3653,0.3741,0.2878,TIE,TIE,0.0088,fragrantica-scraper-archive/social-cards/images/1110_204-CRD_9828.jpeg
365,1290-ZAD,39359,,OCR_UNRESOLVED,this is him zadig voltaire aoe formen main accords fy this s him zadig voltaire formen main accords,0.4111,0.1882,0.1074,0.4244,TIE,TIE,0.0132,fragrantica-scraper-archive/social-cards/images/365_1290-ZAD_39359.jpeg
362,1286-YZLO,562,,OCR_UNRESOLVED,oplum pour homme yves saint laurent eee ee formen ss main accords e oplum pour homme yves saint laurent oe formen main accords,0.4333,0.1771,0.1074,0.3985,winter,MEDIUM,0.0348,fragrantica-scraper-archive/social-cards/images/362_1286-YZLO_562.jpeg
360,1284-YZLO,1031,,OCR_UNRESOLVED,m eecie ce aoa fare ie ra yves saint laurent i ee fo rmen main accords es ee ee m ines fc an yves saint laurent formen main accords ee,0.4963,0.1328,0.1074,0.3875,winter,HIGH,0.1088,fragrantica-scraper-archive/social-cards/images/360_1284-YZLO_1031.jpeg
359,1283-YZLO,24473,,OCR_UNRESOLVED,l homme sport a yves saint laurent esko area formen main accords a citrus a rope tee l homme sport yves saint laurent presah formen main accords citrus,0.1259,0.4391,0.4741,0.1587,summer,MEDIUM,0.0350,fragrantica-scraper-archive/social-cards/images/359_1283-YZLO_24473.jpeg
354,1278-YZLO,735,,OCR_UNRESOLVED,pease cat koulros ae yves saint laurent seeree formen a main accords musky ee ee ite cba el kouros itt or ey yves saint laurent dia rkalel formen main accords musky ee,0.4000,0.2362,0.1370,0.3616,winter,MEDIUM,0.0384,fragrantica-scraper-archive/social-cards/images/354_1278-YZLO_735.jpeg
352,1276-VIC,13857,,OCR_UNRESOLVED,bl fares see splcebdompd viktor rolf skeet formen main accords ee arveg spicebomb viktor rolf opr formen main accords,0.4630,0.1439,0.1074,0.4133,winter,MEDIUM,0.0497,fragrantica-scraper-archive/social-cards/images/352_1276-VIC_13857.jpeg
351,1275-VER,16657,,OCR_UNRESOLVED,eros es versace ie ee formen p main accords vanilla fs eros a eh versace aa ba a formen main accords vanilla fs,0.3370,0.3653,0.2741,0.2878,spring,MEDIUM,0.0283,fragrantica-scraper-archive/social-cards/images/351_1275-VER_16657.jpeg
348,1272-VER,637,,OCR_UNRESOLVED,bl are sime minnalt versace oe formen g main accords a arad blue jeans versace formen main accords es,0.1259,0.3875,0.3778,0.2878,TIE,TIE,0.0097,fragrantica-scraper-archive/social-cards/images/348_1272-VER_637.jpeg
344,1268-VAL,19558,,OCR_UNRESOLVED,sas valentino uomo valentino pie a formen main accords valentino uomo valentino formen main accords,0.4185,0.1771,0.1074,0.4244,TIE,TIE,0.0058,fragrantica-scraper-archive/social-cards/images/344_1268-VAL_19558.jpeg
342,1266-TRU,46287,,OCR_UNRESOLVED,ritlesso see ahees ponies trussardi hes formen ss main accords hhhhebs a so xan she waa aa r tlesso le wae ie trussardi opt io formen ea main accords hebe lia bo nant fa aaa awa,0.3370,0.3432,0.1222,0.3875,fall,MEDIUM,0.0443,fragrantica-scraper-archive/social-cards/images/342_1266-TRU_46287.jpeg
341,1265-TRU,16027,,OCR_UNRESOLVED,my land ae paar nt trussardi rs formen main accords li citrus a ote a a my land trussardi cape formen main accords citrus a,0.1963,0.3542,0.2741,0.3616,TIE,TIE,0.0074,fragrantica-scraper-archive/social-cards/images/341_1265-TRU_16027.jpeg
333,1256-ROC,1426,,OCR_UNRESOLVED,opener rochas man os rochas buns formen main accords rochas man rochas formen main accords,0.4111,0.2362,0.1074,0.3875,winter,MEDIUM,0.0237,fragrantica-scraper-archive/social-cards/images/333_1256-ROC_1426.jpeg
324,1247-RAL,18598,,OCR_UNRESOLVED,polo ked eta me kaa raloh lauren ee formen main accords citrus a ee ay polo red raloh lauren ae formen main accords citrus a,0.3370,0.2989,0.1815,0.3875,fall,MEDIUM,0.0504,fragrantica-scraper-archive/social-cards/images/324_1247-RAL_18598.jpeg
323,1246-RAL,1198,,OCR_UNRESOLVED,polo blue pelea apeen ralph lauren ee formen main accords ozonic fy toe polo blue a be ralph lauren so formen main accords ozonic,0.1259,0.3985,0.4963,0.1550,summer,MEDIUM,0.0978,fragrantica-scraper-archive/social-cards/images/323_1246-RAL_1198.jpeg
320,1243-PRA,31116,,OCR_UNRESOLVED,luna rossa sport prada ee formen i main accords vanilla fs luna rossa sport prada ay formen main accords vanilla fs,0.1741,0.3432,0.2704,0.2878,spring,MEDIUM,0.0554,fragrantica-scraper-archive/social-cards/images/320_1243-PRA_31116.jpeg
317,1240-PRA,15754,,OCR_UNRESOLVED,pane kee ie luna rossa prada eee formen main accords f oy ee luna rossa a prada mee err formen main accords jl ss,0.1259,0.4133,0.4037,0.2066,TIE,TIE,0.0096,fragrantica-scraper-archive/social-cards/images/317_1240-PRA_15754.jpeg
315,1238-PRA,3794,,OCR_UNRESOLVED,eaieeee infusion d homme prada ae formen main accords j powdery poh a ce eae i intusion d homme prada eras iar formen s main accords powdery ee,0.1259,0.3985,0.3148,0.2325,spring,MEDIUM,0.0837,fragrantica-scraper-archive/social-cards/images/315_1238-PRA_3794.jpeg
311,1232-PAC,526,,OCR_UNRESOLVED,paco rabanne pour homme i in ae main accords paco rabanne pour homme rabanne bx a ae aco formen main accords a es,0.3370,0.3210,0.2741,0.3616,fall,MEDIUM,0.0246,fragrantica-scraper-archive/social-cards/images/311_1232-PAC_526.jpeg
310,1231-PAC,37698,,OCR_UNRESOLVED,mulhion prive rabanne eee ae formen main accords nn mullion prive rabanne es oe formen main accords nn,0.4741,0.1181,0.1074,0.4465,winter,MEDIUM,0.0276,fragrantica-scraper-archive/social-cards/images/310_1231-PAC_37698.jpeg
307,1226-PAC,18471,,OCR_UNRESOLVED,pe a er invictus rabanne eee formen ry y main accords citrus cf a eee ts ths arad a invictus rabanne be at formen main accords i z ss citrus a,0.1259,0.3875,0.4704,0.1771,summer,MEDIUM,0.0829,fragrantica-scraper-archive/social-cards/images/307_1226-PAC_18471.jpeg
298,1216-MNTB,4023,,OCR_UNRESOLVED,starwalker montblanc ee formen main accords wu pe starwalker montblanc ee formen main accords i a,0.1259,0.3985,0.4296,0.1771,summer,MEDIUM,0.0311,fragrantica-scraper-archive/social-cards/images/298_1216-MNTB_4023.jpeg
296,1214-MNTB,33443,,OCR_UNRESOLVED,ber at say eet peden ear rante legend spirit montblanc formen ss main accords sg ey z citrus fs legend spirit montblanc mee formen a tte main accords citrus,0.1259,0.4244,0.4741,0.1328,summer,MEDIUM,0.0497,fragrantica-scraper-archive/social-cards/images/296_1214-MNTB_33443.jpeg
294,1212-MNTB,18861,,OCR_UNRESOLVED,pere aa legend intense montblanc ge formen main accords kd fs pen ar legend intense montblanc else formen main accords,0.2444,0.3653,0.2741,0.3616,TIE,TIE,0.0037,fragrantica-scraper-archive/social-cards/images/294_1212-MNTB_18861.jpeg
293,1211-MNTB,11784,,OCR_UNRESOLVED,legend ene montblanc eats formen gs main accords ct ee i eo ae ag be a legend sa montblanc bhd formen main accords e s,0.1926,0.3432,0.2926,0.2878,spring,MEDIUM,0.0506,fragrantica-scraper-archive/social-cards/images/293_1211-MNTB_11784.jpeg
292,1210-MNTB,4193,,OCR_UNRESOLVED,indtividuel montblanc se rae formen iq i main accords ana fy individuel montblanc op formen main accords fy,0.3370,0.3653,0.1704,0.3616,TIE,TIE,0.0037,fragrantica-scraper-archive/social-cards/images/292_1210-MNTB_4193.jpeg
288,1204-LOE,30321,,OCR_UNRESOLVED,solo loewe cedro loewe sata formen main accords solo loewe cedro loewe rie formen main accords,0.1963,0.3432,0.2741,0.3616,TIE,TIE,0.0185,fragrantica-scraper-archive/social-cards/images/288_1204-LOE_30321.jpeg
286,1202-LOE,6291,,OCR_UNRESOLVED,east sate ape k sencia pour homme loewe aoe formen i main accords ee ksencia pour homme loewe baa formen main accords,0.3370,0.3210,0.1481,0.3875,fall,MEDIUM,0.0504,fragrantica-scraper-archive/social-cards/images/286_1202-LOE_6291.jpeg
