prestashop_product_id,shobi_code,fragrantica_id,gender,gender_source,gender_ocr_text,winter,spring,summer,fall,main_season,season_confidence,season_margin,local_path,actual_longest,actual_longest_value,runner_up,runner_up_value,actual_margin
2555,1737-GIV,68404,female,SOCIAL_CARD_OCR,l interdit kau de partum khouge givenchy pay for women main accords white floral l interdit kau de partum rouge for women givenchy main accords white floral fy,0.4778,0.1218,0.1074,0.4649,TIE,TIE,0.0128,fragrantica-scraper-archive/social-cards/images/2555_1737-GIV_68404.jpeg,winter,0.4778,fall,0.4649,0.0129
2516,1731-VICT,68550,female,SOCIAL_CARD_OCR,tease creme cloud victoria s secret ee for women main accords lease creme cloud victoria s secret jogs for women main accords,0.3370,0.3653,0.1815,0.3616,TIE,TIE,0.0037,fragrantica-scraper-archive/social-cards/images/2516_1731-VICT_68550.jpeg,spring,0.3653,fall,0.3616,0.0037
2515,1734-TMFO,69008,unisex,SOCIAL_CARD_OCR,r a bere hee ebene kume a ca ey eas om tom ford pees faa for women and men main accords r ee for hs hkbene fume ee er g natal tom ford mee tn it for women and men a main accords ee,0.4630,0.1218,0.1074,0.4649,TIE,TIE,0.0020,fragrantica-scraper-archive/social-cards/images/2515_1734-TMFO_69008.jpeg,fall,0.4649,winter,0.4630,0.0019
2458,1730-HER,67667,female,SOCIAL_CARD_OCR,twwilly d hermes kau ginger hermes for women main accords fresh hin ee ahs pr twwily d hermes i au ginger s for women hermes main accords fresh fs,0.1296,0.3875,0.3741,0.2878,TIE,TIE,0.0134,fragrantica-scraper-archive/social-cards/images/2458_1730-HER_67667.jpeg,spring,0.3875,summer,0.3741,0.0134
2452,1718-TER,30624,unisex,SOCIAL_CARD_OCR,casslopea rd arenas in tiziana terenzi meer ae for women and men ss main accords fs iad ld casslopea tiziana terenzi ae for women and men main accords,0.1926,0.3653,0.3481,0.2214,TIE,TIE,0.0172,fragrantica-scraper-archive/social-cards/images/2452_1718-TER_30624.jpeg,spring,0.3653,summer,0.3481,0.0172
2439,1704-CAR,65988,,OCR_UNRESOLVED,heroes carolina herrera ie cna formen main accords sn heroes carolina herrera formen main accords,0.1259,0.3985,0.3926,0.1882,TIE,TIE,0.0059,fragrantica-scraper-archive/social-cards/images/2439_1704-CAR_65988.jpeg,spring,0.3985,summer,0.3926,0.0059
2437,1701-TOSC,5796,female,SOCIAL_CARD_OCR,eae eae tosca on eee for women main accords citrus ere ee aka losca re ro tosca a for women main accords citrus,0.3370,0.3210,0.2741,0.3063,TIE,TIE,0.0160,fragrantica-scraper-archive/social-cards/images/2437_1701-TOSC_5796.jpeg,winter,0.3370,spring,0.3210,0.0160
2429,1698-LEL,6329,unisex,SOCIAL_CARD_OCR,pe ote re ba go o ud zz vi aoe ear ee le labo eas for women and men r main accords musky ae nt oud ae lyi le labo bat sol for women and men main accords musky fy,0.4111,0.1550,0.1111,0.3985,TIE,TIE,0.0126,fragrantica-scraper-archive/social-cards/images/2429_1698-LEL_6329.jpeg,winter,0.4111,fall,0.3985,0.0126
2411,1675-NRO,60867,female,SOCIAL_CARD_OCR,narciso kau de partum ambree narciso rodriguez ee for women main accords musky narciso kau de partum ambree ret narciso rodriguez for women main accords musky,0.1519,0.2989,0.3148,0.3100,TIE,TIE,0.0049,fragrantica-scraper-archive/social-cards/images/2411_1675-NRO_60867.jpeg,summer,0.3148,fall,0.3100,0.0048
2409,1680-DRC,58665,female,SOCIAL_CARD_OCR,houge lrataligar dior pera as for women rl r main accords ry aan oe houge lratalgar dior sy li for women main accords,0.1259,0.4170,0.4037,0.1771,TIE,TIE,0.0133,fragrantica-scraper-archive/social-cards/images/2409_1680-DRC_58665.jpeg,spring,0.4170,summer,0.4037,0.0133
2405,1678-BYR,58572,unisex,SOCIAL_CARD_OCR,fe eel tear ear seller ates pee byredo ear er for women and men main accords leather ee tt seller be oh ot byredo for women and men main accords,0.4185,0.1771,0.1074,0.4133,TIE,TIE,0.0052,fragrantica-scraper-archive/social-cards/images/2405_1678-BYR_58572.jpeg,winter,0.4185,fall,0.4133,0.0052
2399,1658-GUR,14681,female,SOCIAL_CARD_OCR,la petite robe noire en guerlain ona for women vi ip an d ass main accords sar i j la petite robe noire eee guerlain eon for women main accords lie s zs i ee,0.3963,0.1993,0.1074,0.3764,TIE,TIE,0.0199,fragrantica-scraper-archive/social-cards/images/2399_1658-GUR_14681.jpeg,winter,0.3963,fall,0.3764,0.0199
2386,1653-MAN,15210,female,SOCIAL_CARD_OCR,od rea roses vanille ae loreen mancera ae for women main accords in sid s etait ee hoses vanille mancera ca for women main accords in ae,0.3741,0.2362,0.1111,0.3875,TIE,TIE,0.0134,fragrantica-scraper-archive/social-cards/images/2386_1653-MAN_15210.jpeg,fall,0.3875,winter,0.3741,0.0134
2385,1648-FRE,1024,unisex,SOCIAL_CARD_OCR,pinceeaeer carnal flower frederic malle editions de parfums fc cert for women and men main accords carnal klower frederic malle editions de parfums for women and men main accords,0.1926,0.3653,0.3481,0.2878,TIE,TIE,0.0172,fragrantica-scraper-archive/social-cards/images/2385_1648-FRE_1024.jpeg,spring,0.3653,summer,0.3481,0.0172
