prestashop_product_id,shobi_code,original_brand,original_perfume,old_fragrantica_id,new_fragrantica_id,fragrantica_url,result,providers,note
4485,2615-ARMA,Armaf,Odyssey-dubai-chocolat,,,,UNRESOLVED,bing-rss:0|ddg-html:0|bing:0,no candidates
4484,2648-FUGA,Fugazzi,Vanilla Haze Eau de Parfum,,,,UNRESOLVED,bing-rss:0|ddg-html:0|bing:0,no candidates
4483,2658-CHA,Chanel,Sycomore-,,,,UNRESOLVED,bing-rss:0|ddg-html:0|bing:0,no candidates
4482,2616-TMU,mugler,Alien-extraintense,,,,UNRESOLVED,bing-rss:0|ddg-html:0|bing:0,no candidates
4481,2619-DRC,Dior,Homme Parfum 2025,,,,UNRESOLVED,bing-rss:0|ddg-html:0|bing:0,no candidates
4480,2617-DOL,Dolce & Gabbana,Devotion Pour Homme,,,,UNRESOLVED,bing-rss:0|ddg-html:0|bing:0,no candidates
4479,2622-PHL,Phlur,Vanilla-skin-eau-de-,,,,UNRESOLVED,bing-rss:0|ddg-html:0|bing:0,no candidates
4478,2621-CHAR,Charlotte Tilbury,More-sex,,,,UNRESOLVED,bing-rss:0|ddg-html:0|bing:0,no candidates
4444,2649-BORN,Borntostandout,Naked Laundry,,,,UNRESOLVED,bing-rss:0|ddg-html:0|bing:0,no candidates
4443,2620-CHAR,Charlotte Tilbury,Cosmic-power,,,,UNRESOLVED,bing-rss:0|ddg-html:0|bing:0,no candidates
4438,2647-LTN,Louis Vuitton,Symphony,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4436,2623-NES,Nest,Santa-barbara-strawberry-eau-de-,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4435,2614-AMG,Amouage,Guidance 46 Amouagee,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4434,2624-BLG,Bvlgari,Rock-n-rome,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4433,2626-JOM,Jo Malone,English Oak  Redcurrant,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4432,2625-GUR,Guerlain,L Instant De Guerlain Pour Homme,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4431,2633-KUR,Maison Francis Kurkdjian,Petit Matin,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4430,2611-KAY,Kayali,Elixir 11 Kayali Fragrances,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4429,2613-SOS,Sospiro,Vibrato Sospiro Perfume,,,,UNRESOLVED,bing-rss:1|ddg-html:ERR:HTTPError|bing:0,weak best=0.668 brand=1.000 perfume=0.500 second=0.000
4428,2612-LUS,Lush,Sticky Dates Lush,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4426,2599-ACQ,Acqua di Parma,Sandalo-eau-de-,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4425,2598-GLO,Glossier,You,,46885,https://www.fragrantica.com/perfume/Glossier/You-46885.html,FOUND,bing-rss:1|ddg-html:ERR:HTTPError|bing:0,accepted score=1.000 margin=1.000
4424,2641-LAT,Lattafa,Eclaire Lattafa Perfumes,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4423,2630-SOS,Sospiro,Erba-pura-magica,,,,UNRESOLVED,bing-rss:1|ddg-html:ERR:HTTPError|bing:0,weak best=0.402 brand=1.000 perfume=0.000 second=0.000
4422,2627-LTN,Louis Vuitton,Météore,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4421,2608-KIL,Kilian,A Taste Of Heaven,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4420,2609-TMFO,Tom Ford,Opaline Hyacinth,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4419,2605-ARM,Giorgio Armani,Figuier Eden,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4418,2610-JUL,Juliette Has a Gun,Not-a-perfume-superdose,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4417,2632-BDIK,BDK Parfums,Velvet Tonka Eau de Parfum,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4416,2629-PEN,Penhaligons,Sports-car-club,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4415,2628-PEN,Penhaligons,Roaring-radcliff,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4414,2631-TMFO,Tom Ford,Black-lacquer,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4413,2639-TRU,Trussardi,Trussardi-donna-pink-marina,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4412,2636-YZLO,Yves Saint Laurent,Black Opium Baby Cat Collector,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4411,2635-SOL,Sol de Janeiro,Cheirosa-76-after-hours,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4410,2634-NRO,Narciso Rodriguez,Essence,,,,UNRESOLVED,bing-rss:1|ddg-html:ERR:HTTPError|bing:0,weak best=0.379 brand=1.000 perfume=0.000 second=0.000
4409,2638-KEN,Kenzo,Jungle Le Tigre,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4408,2640-CRD,Creed,Delphinus,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4407,2642-CRD,Creed,Centaurus,,95601,https://www.fragrantica.com/perfume/Creed/Centaurus-95601.html,FOUND,bing-rss:1|ddg-html:ERR:HTTPError|bing:0,accepted score=1.000 margin=1.000
4406,2603-JUL,Juliette Has a Gun,Lust-for-sun,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4395,2575-XER,Xerjoff,Deified Tony Iommi Parfum,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4392,2607-TMU,mugler,Angel Eau Croisiere,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4391,2602-TMU,mugler,Angel Garden Of Stars - Violette Angel,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
4390,2601-TMU,mugler,Angel Passion Star,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:HTTPError|bing:0,no candidates
