prestashop_product_id,shobi_code,brand,perfume,inspired_by,reference,shobi_url,fragrantica_id,gender,season,main_notes,status,source
1815,131-LEL,,,Santal 33,,https://leparfum.com.gr/en/niche-perfumes/131-lel-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2131,132-LTN,,,Ombre Nomade,,https://leparfum.com.gr/en/niche-perfumes/132-ltn-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2126,133-MICA,,,YLANG IN GOLD - M,,https://leparfum.com.gr/en/niche-perfumes/133-mica-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2238,134-KUR,,,Amyris Homme,,https://leparfum.com.gr/en/niche-perfumes/134-kur-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2192,135-KUR,,,Gentle-fluidity-gold,,https://leparfum.com.gr/en/niche-perfumes/135-kur-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2209,136-KUR,,,Gentle-fluidity-silver,,https://leparfum.com.gr/en/niche-perfumes/136-kur-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2227,137-KUR,,,Grand Soir Eau de Parfum,,https://leparfum.com.gr/en/niche-perfumes/137-kur-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1791,138-KUR,,,Oud Cashmere Mood,,https://leparfum.com.gr/en/niche-perfumes/138-kur-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
,139-KUR,,,OUD SATIN MOOD,,,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
,140-KUR,,,OUD SILK MOOD,,,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2058,141-MAN,,,Black Vanilla,,https://leparfum.com.gr/en/niche-perfumes/141-man-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2133,142-MAN,,,Cedrat Boise,,https://leparfum.com.gr/en/niche-perfumes/142-man-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2109,143-MAN,,,Red Tobacco,,https://leparfum.com.gr/en/niche-perfumes/143-man-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2117,144-MAN,,,Vanille Exclusive,,https://leparfum.com.gr/en/niche-perfumes/144-man-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1950,145-MEM,,,African-leather-eau-de-,,https://leparfum.com.gr/en/niche-perfumes/145-mem-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1410,146-MEM,,,Russian-leather-eau-de-,,https://leparfum.com.gr/en/niche-perfumes/146-mem-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2237,147-NAS,,,Pardon,,https://leparfum.com.gr/en/niche-perfumes/147-nas-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1411,148-PARF,,,Athalia,,https://leparfum.com.gr/en/niche-perfumes/148-parf-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1412,149-PARF,,,CARLISLE (U) - PARFUMS DE MARLY,,https://leparfum.com.gr/en/niche-perfumes/149-parf-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2122,150-PARF,,,Cassili,,https://leparfum.com.gr/en/niche-perfumes/150-parf-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2229,151-PARF,,,Delina,,https://leparfum.com.gr/en/niche-perfumes/151-parf-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2057,152-PARF,,,Delina Exclusif,,https://leparfum.com.gr/en/niche-perfumes/152-parf-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
,153-PARF,,,HEROD,,,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1786,154-PARF,,,Layton,,https://leparfum.com.gr/en/niche-perfumes/154-parf-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2230,155-PARF,,,Layton Exclusif,,https://leparfum.com.gr/en/niche-perfumes/155-parf-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1413,156-PARF,,,OAJAN (U) - Parfums de Marly,,https://leparfum.com.gr/en/niche-perfumes/156-parf-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2120,157-PARF,,,Pegasus,,https://leparfum.com.gr/en/niche-perfumes/157-parf-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2228,158-PARF,,,Percival,,https://leparfum.com.gr/en/niche-perfumes/158-parf-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2125,159-PARF,,,Safanad,,https://leparfum.com.gr/en/niche-perfumes/159-parf-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2094,160-PEN,,,BEWITCHING YASMINE,,https://leparfum.com.gr/en/niche-perfumes/160-pen-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2233,161-PEN,,,Cairo,,https://leparfum.com.gr/en/niche-perfumes/161-pen-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2092,162-PEN,,,Endymion Concentre,,https://leparfum.com.gr/en/niche-perfumes/162-pen-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2093,163-PEN,,,Halfeti-eau-de-,,https://leparfum.com.gr/en/niche-perfumes/163-pen-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2240,164-PEN,,,Halfeti-leather,,https://leparfum.com.gr/en/niche-perfumes/164-pen-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2140,165-PEN,,,The-tragedy-of-lord-george-eau-de-,,https://leparfum.com.gr/en/niche-perfumes/165-pen-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2096,166-AZ,,,Sequoia Wood Eau de Parfum,,https://leparfum.com.gr/en/niche-perfumes/166-az-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1414,167-RAS,,,Daarej pour Homme Eau de Parfum,,https://leparfum.com.gr/en/niche-perfumes/167-ras-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1415,168-RAS,,,Daarej for Women Rasasi,,https://leparfum.com.gr/en/arabian-perfumes/daarej-for-women-rasasi-perfume-type,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2234,169-ROJ,,,BRITANNIA - ROJA DOVE,,https://leparfum.com.gr/en/niche-perfumes/169-roj-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2235,170-ROJ,,,ENIGMA WOMAN - ROJA DOVE,,https://leparfum.com.gr/en/niche-perfumes/170-roj-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2204,171-DUP,,,Souvenirs De Malles Oud Oriental,,https://leparfum.com.gr/en/niche-perfumes/171-dup-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2084,172-SHALM,,,Moroccan-musk,,https://leparfum.com.gr/en/arabian-perfumes/172-shalm-ar,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
