prestashop_product_id,shobi_code,old_inspired_by,recovered_inspired_by,source,url
3563,2136-PARF,,2136 parf ν,url_slug,https://leparfum.com.gr/en/niche-perfumes/2136-parf-ν
3538,2128-BEN,,we are tribe βενεττον,url_slug,https://leparfum.com.gr/en/fragrances-for-men/we-are-tribe-βενεττον-similar-fragrance
3494,2094-SHIS,,ever bloom wedding,url_slug,https://leparfum.com.gr/en/fragrances-for-women/ever-bloom-wedding-perfume
3485,,,Β683 - MARC ANTOINE BARROIS,description,https://leparfum.com.gr/en/niche-perfumes/2106-marc-ν
3471,2067-ROJ,,POUR FEMME ESSENCE DE PARFUM - ROJA,description,https://leparfum.com.gr/en/niche-perfumes/2067-roj-ν
3462,2065-FRA,,sugar franck boclet,url_slug,https://leparfum.com.gr/en/elegants-fragrances/sugar-franck-boclet-clone
3460,2044-LORV,,teint de neige lorenzo villoresi,url_slug,https://leparfum.com.gr/en/elegants-fragrances/teint-de-neige-lorenzo-villoresi-inspired
3451,2022-ANN,,lucky wish anna sui,url_slug,https://leparfum.com.gr/en/fragrances-for-women/lucky-wish-anna-sui-inspired-fragrance
3440,2021-ROJ,,apex men roja dove,url_slug,https://leparfum.com.gr/en/niche-perfumes/apex-men-roja-dove-similar-fragrance
3374,2016-PARELM,,D'AMOUR - PARFUMS D'ELMAR,description,https://leparfum.com.gr/en/niche-perfumes/2016-parelm-ν
3372,1926-KOS,,L'AMOUR - THOMAS KOSMALA,description,https://leparfum.com.gr/en/niche-perfumes/1926-kos-ν
3369,1988-THEVE,,THE MERCHANT OF VENICE,description,https://leparfum.com.gr/en/niche-perfumes/1988-theve-ν
3368,1987-SON,,le parfum sonia rykiel,url_slug,https://leparfum.com.gr/en/fragrances-for-women/le-parfum-sonia-rykiel-similar-fragrance
3367,1986-SOO,,1986 soo ν,url_slug,https://leparfum.com.gr/en/niche-perfumes/1986-soo-ν
3364,1958-DRC,,1958 drc mix 1838 tau,url_slug,https://leparfum.com.gr/en/layered-perfumes/1958-drc-mix-1838-tau
3362,1981-KHAL,,gra khaltat,url_slug,https://leparfum.com.gr/en/arabian-perfumes/gra-khaltat-similar-fragrance
3360,1979-RAS,,arba wardat rasasi arabic,url_slug,https://leparfum.com.gr/en/arabian-perfumes/arba-wardat-rasasi-arabic-clone
3358,1977-SHIS,,ginza shiseido,url_slug,https://leparfum.com.gr/en/fragrances-for-women/ginza-shiseido-similar-fragrance
3337,251-JOM,,251 jom mix 780 lan,url_slug,https://leparfum.com.gr/en/layered-perfumes/251-jom-mix-780-lan
3315,401-ARIA,,401 aria mix 305 kay,url_slug,https://leparfum.com.gr/en/layered-perfumes/401-aria-mix-305-kay
3312,1156-HER,,1156 her mix 137 kur,url_slug,https://leparfum.com.gr/en/layered-perfumes/1156-her-mix-137-kur
3301,1930-VIC,,1930 vic mix 1039 blg,url_slug,https://leparfum.com.gr/en/layered-perfumes/1930-vic-mix-1039-blg
3295,111-BAC,,111 bac mix 204 crd,url_slug,https://leparfum.com.gr/en/layered-perfumes/111-bac-mix-204-crd
3281,1065-CHA,,1065 cha mix 1181 gul,url_slug,https://leparfum.com.gr/en/layered-perfumes/1065-cha-mix-1181-gul
3199,2007-SWISA,,habeitak swiss arabian,url_slug,https://leparfum.com.gr/en/arabian-perfumes/habeitak-swiss-arabian-clone
3111,1994-ROJ,,AOUD - ROJA DOVE,description,https://leparfum.com.gr/en/niche-perfumes/1994-roj-ν
2943,1870-ARDAL,,ameerat al ehsaas ard al zaafaran dupe,url_slug,https://leparfum.com.gr/en/arabian-perfumes/ameerat-al-ehsaas-ard-al-zaafaran-dupe
2942,,,dopamine arabic perfume العطور,url_slug,https://leparfum.com.gr/en/niche-perfumes/dopamine-arabic-perfume-العطور
2940,1922-ORT,,megamare orto parisi,url_slug,https://leparfum.com.gr/en/luxury-perfumes/megamare-orto-parisi-type
2933,1927-AMG,,AMOUAGE,description,https://leparfum.com.gr/en/niche-perfumes/1927-amg-n
2911,,,sultan al haramain,url_slug,https://leparfum.com.gr/en/niche-perfumes/sultan-al-haramain
2826,1756-LBI,,roma laura biagiotti,url_slug,https://leparfum.com.gr/en/fragrances-for-women/roma-laura-biagiotti-perfume-type
2825,1743-LBI,,sotto voce biagiotti,url_slug,https://leparfum.com.gr/en/fragrances-for-women/sotto-voce-biagiotti-perfume-type
2824,1753-TEDL,,ted lapidus,url_slug,https://leparfum.com.gr/en/fragrances-for-men/ted-lapidus-perfume-type
2823,998-ABE,,fierce icon abercrombie,url_slug,https://leparfum.com.gr/en/fragrances-for-men/fierce-icon-abercrombie-type
2794,1888-MOR,,MORESQUE,description,https://leparfum.com.gr/en/niche-perfumes/1888-mor-n
2773,1203-LOE,,solo loewe,url_slug,https://leparfum.com.gr/en/fragrances-for-men/solo-loewe-inspired-fragrance
2772,1890-LEL,,41 - LELABO,description,https://leparfum.com.gr/en/niche-perfumes/1890-lel-n
2734,997-ABE,,fierce abercrombie fitch,url_slug,https://leparfum.com.gr/en/fragrances-for-men/fierce-abercrombie-fitch-type
