prestashop_product_id,shobi_code,shobi_name,reference,reference_prefix,inspired_by,category,price_from_eur,official_description,url,first_seen,last_seen,status,classification_rule,source
4351,2572-KUR,2572-KUR N,AR486,AR,APOM,Niche Perfumes,15.0,"Inspired by the fragrance notes of APOM. Unisex perfume white floral, sweet, musky, yellow floral, powdery, lavender, amber, vanilla.",https://leparfum.com.gr/en/niche-perfumes/2572-kur-n,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4350,2597-TMFO,2597-TMFO N,AR485,AR,Amber Intrigue,Niche Perfumes,15.0,"2597-TMFO N Inspired by the fragrance notes of Amber Intrigue. Unisex perfume amber, woody, warm spicy, sweet, cinnamon.",https://leparfum.com.gr/en/niche-perfumes/2597-tmfo-n,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4349,2596-PEN,2596-PEN N,AR484,AR,Halfeti Cedar,Niche Perfumes,15.0,"2596-PEN Inspired by the fragrance notes of Halfeti Cedar. Unisex perfume woody, warm spicy, sweet, fruity, rum, vanilla, amber, powdery, cinnamon.",https://leparfum.com.gr/en/niche-perfumes/2596-pen-n,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4348,2595-INI,2595-INI N,AR483,AR,Mystic Experience Initio Parfums,Niche Perfumes,15.0,"2595-INI Inspired by the fragrance notes of Mystic Experience Initio Parfums. Unisex perfume woody, amber, powdery, warm spicy, coffee, musky, mossy, earthy, animalic.",https://leparfum.com.gr/en/niche-perfumes/2595-ini-n,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4347,2594-HUG,2594-HUG M,MP383,MP,Bottled Oud Saffron,Fragrances For Men,9.0,"2594-HUG M Inspired by the fragrance notes of Bottled Oud Saffron. Men's fragrance oud, rose, warm spicy, amber, metallic, leather, tobacco.",https://leparfum.com.gr/en/fragrances-for-men/2594-hug-m,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4346,2593-HUG,2593-HUG M,MP382,MP,Bottled Elixir,Fragrances For Men,9.0,"2593-HUG Inspired by the fragrance notes of Bottled Elixir. Men's fragrance woody, amber, warm spicy, aromatic, patchouli, earthy.",https://leparfum.com.gr/en/fragrances-for-men/2593-hug-m,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4345,2592-GOLD,2592-GOLD N,AR482,AR,Pacific Rock Moss Goldfield & Banks Australia,Niche Perfumes,15.0,"Inspired by the fragrance notes of Pacific Rock Moss Goldfield & Banks Australia. Unisex perfume aromatic, citrus, herbal, mossy, woody, fresh spicy, earthy, soft , picy.",https://leparfum.com.gr/en/niche-perfumes/Pacific-Rock-Moss-GOLDFIELD,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4344,2591-CRD,2591-CRD EL,EL414,EL,Acqua Fiorentina,Elegants Fragrances,10.0,"Inspired by the fragrance notes of Acqua Fiorentina. Women perfume citrus, fruity, woody, fresh, fresh spicy, sweet.",https://leparfum.com.gr/en/elegants-fragrances/2591-crd-el,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4343,2590-BYRP,2590-BYRP N,AR481,AR,Mula Mula Rouge Extreme Byron Parfums,Niche Perfumes,15.0,"2590-BYRP Inspired by the fragrance notes of Mula Mula Rouge Extreme Byron Parfums. Unisex perfume sweet, fruity, caramel, oud, cherry, woody, vanilla, patchouli.",https://leparfum.com.gr/en/niche-perfumes/2590-byrp-n,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4342,2589-BYRP,2589-BYRP N,AR480,AR,Mula Mula Double Caramel Byron Parfums,Niche Perfumes,15.0,"2589-BYRP Inspired by the fragrance notes of Mula Mula Double Caramel Byron Parfums. Unisex perfume sweet, fruity, caramel, amber, warm spicy, oud, vanilla.",https://leparfum.com.gr/en/niche-perfumes/2589-byrp-n,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
