prestashop_product_id,shobi_code,inspired_by,code_suffix,inferred_brand,status,match_type,score,candidate_count,fragrantica_brand,fragrantica_perfume,fragrantica_id,fragrantica_url,note
1231,335-THCO,CASHMERE BLANC - THE WHITE COMPANY,THCO,,NOT_FOUND,,,0,,,,,
1230,334-SHI,shirley may fragrance dupe,SHI,,NOT_FOUND,,,0,,,,,
1225,331-PG,crystal water water lily pg,PG,,NOT_FOUND,,,0,,,,,
1224,330-PG,oriental blossom pg,PG,,NOT_FOUND,,,0,,,,,
1222,327-PECK,mistraal pecksniff eaudeparfum,PECK,All Your Personal Aroma,NOT_FOUND,,,0,,,,,
1221,326-PECK,calm pecksniff s,PECK,All Your Personal Aroma,NOT_FOUND,,,0,,,,,
1220,325-PECK,black oak cedar pecksniff s aroma,PECK,All Your Personal Aroma,NOT_FOUND,,,0,,,,,
1210,313-MOL,thai vert molton brown,MOL,,NOT_FOUND,,,0,,,,,
1208,311-MOL,amber cocoon-mol,MOL,,NOT_FOUND,,,0,,,,,
1206,309-LOC,309 loc el,LOC,,NOT_FOUND,,,0,,,,,
1203,304-KIE,ORIGINAL MUSK - KIEHL'S,KIE,,NOT_FOUND,,,0,,,,,
1190,289-JOM,SWEET ALMON & MACARRON - JO MALONE,JOM,Jo Malone London,NOT_FOUND,,,0,,,,,
1187,286-JOM,SHARDS OF CEDAR & RED THYME - JO MALONE,JOM,Jo Malone London,NOT_FOUND,,,0,,,,,
1181,279-JOM,PINK VETIVER - JO MALONE,JOM,Jo Malone London,NOT_FOUND,,,0,,,,,
1167,261-JOM,INCENSE & EMBERS - JO MALONE,JOM,Jo Malone London,NOT_FOUND,,,0,,,,,
1164,258-JOM,GREEN TOMATO LEAF - JO MALONE,JOM,Jo Malone London,NOT_FOUND,,,0,,,,,
1163,257-JOM,GREEN ORANGE & CORIANDER - JO MALONE,JOM,Jo Malone London,NOT_FOUND,,,0,,,,,
1146,238-JOM,A Shot Of Oud Over Mango - Jo Malone,JOM,Jo Malone London,NOT_FOUND,,,0,,,,,
