shobi_code,brand,perfume,result,fragrantica_id,fragrantica_url,candidate_brand,candidate_perfume,score,provider,note
1550-YAN,Yankee Candle,HOME SWEET HOME - YANKEE,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1557-FRE,Frederic Malle,ROSE & CUIR,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1551-VICT,Victoria s Secret,Tease-dreamer-eau-de-,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1535-BOA,Boadicea the Victorious,Blue Sapphire Pure Parfum,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1536-BOA,Boadicea the Victorious,HEROINE for women,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1488-LBI,Laura Biagiotti,Roma Uomo,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1502-CHA,Chanel,the fragrance COCON MADEM L'EAU PRIVEE,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1522-ZAD,Zadig & Voltaire,THIS IS US! - ZADIG & VOLTAIRE,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1528-KUR,Maison Francis Kurkdjian,BACCARAT ROUGE 540 EXTRAIT,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1521-ZAD,Zadig  Voltaire,Girls-can-be-crazy,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
176-THAM,Thameen,Peregrina,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
170-ROJ,Roja Parfums,ENIGMA WOMAN - ROJA DOVE,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
169-ROJ,Roja Parfums,BRITANNIA - ROJA DOVE,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
826-MIS,Missguided,Babe Power,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1217-MONT,Montana,Homme Eau de Toilette (Eau de Toilette),UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
609-ESC,Escada,Sentiment,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
125-JUL,Juliette Has a Gun,Liquid Illusion,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
896-RCAV,Roberto Cavalli,Splendid-vanilla,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
803-LAU,Laura Mercier,Ambre Vanille Eau de Toilette,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
171-DUP,S T Dupont,Souvenirs De Malles Oud Oriental,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
689-GUR,Guerlain,MITSOUKO EAU DE PARFUM - GUERLAIN,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
966-VICT,Victoria's Secret,TEASE - VICTORIA'S SECRET,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
637-EST,Estee Lauder,Spellbound,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
133-MICA,M. Micallef,YLANG IN GOLD - M,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
119-HIS,Histoires de Parfums,1725 Casanova,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
383-YAN,Yankee Candle,WEDDING DAY - YANKEE,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1205-LOL,Lolita Lempicka,Au Masculin,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
166-AZ,The Perfumer’s Story by Azzi,Sequoia Wood Eau de Parfum,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
172-SHALM,scent-salim,Moroccan-musk,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
677-GUC,Gucci,G by G,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
539-DRC,Dior,MISS ROSE & ROSES,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
685-GUR,Guerlain,Champs Elysees,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
283-JOM,Jo Malone,English Fields  Poppy  Barley,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
601-ESC,Escada,Flor-del-sol,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
130-LEL,Le Labo,SANTAL 26 - LE LABO,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
385-YAR,Yardley,LILY OF THE VALLEY - YARDLEY,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
523-DRC,Dior,ISSIMO,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1097-DOL,Dolce & Gabbana,LIGHT BLUE DISCOVER VULCANO,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
564-DOL,Dolce & Gabbana,SEXY CHOCLATE,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
589-ELI,Elie Saab,Girl of Now,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
608-ESC,Escada,Moon Sparkle,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
993-ZAD,Zadig & Voltaire,JUST ROCK FOR HER - ZADIG & VOLTAIRE,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
967-VICT,Victoria s Secret,Velvet Petals,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
903-SALV,Salvador Dali,the fragrance notes LAGUNA - SALVADOR DALI,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1236-PAL,Paloma Picasso,Minotaure,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
808-LOL,Lolita Lempicka,Sweet,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
