shobi_code,brand,perfume,result,fragrantica_id,fragrantica_url,candidate_brand,candidate_perfume,score,provider,note
2431-ROJ,Roja Parfums,MUSK AOUD - ROJA DOVE,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2437-MELA,Melanie Martinez,CRY BABY PERFUME MILK - MELANIE MARTINEZ,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2415-ESC,Escada,SEXY GRAFFITY - ESCADA,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2417-ACQ,Acqua di Parma,Arancia-di-capri,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2418-ACQ,Acqua di Parma,VANIGLIA SIGNATURE,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2411-JAME,James Heeley,COCCOBELLO - JAMES HEELEY,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2400-MORH,Morph,Antigua Bay,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2399-MORH,Morph,Tonkatonic,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2288-BAT,Bath Body Works,BLACK RASBERRY VANILLA - BATH BODY WORKS,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2383-ROCCO,Roccobarocco,ROCCOBAROCCO - ROCCOBAROCCO,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2377-VICT,Victoria s Secret,Vanilla Lace,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2378-GOLD,Goldfield & Banks,BOHEMIAN LIME - GOLDFIELD & BANKS AUSTRALIA,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2374-MICA,M. Micallef,GN TONIC - MICALLEF,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2334-ROJ,Roja Parfums,MANHATTAN - ROJA DOVE,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2336-THAM,Thameen,Carved Oud,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2371-MATIE,Matiere Premiere,Vanilla Powder,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2365-DIP,Diptyque,L-eau-papier-eau-de-toilette,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2368-ESC,Escada,Nectar-de-costa-rica,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1481-EON,James Bond 007,James Bond 007 Eau de Toilette,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2315-RAM,Ramon Monegal,Flamenco Eau de Parfum,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2323-MICA,Martine Micallef,Vanille Fleur,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
