shobi_code,prestashop_product_id,shobi_inspired_by,classification,reason,match_type,corpus_status,candidate_count,candidate_fids,candidate_urls
877-PRA,,INFUSION DE FLEUR D'ORANGER,NOT_FOUND,NO_CORPUS_CODE_MATCH,,BRAND_TOKEN_MATCH,2,5533|31041,https://www.fragrantica.com/perfume/Prada/Infusion-de-Fleur-d-Oranger-5533.html|https://www.fragrantica.com/perfume/Prada/Infusion-de-Fleur-d-Oranger-2015-31041.html
900-ROG,,FLEUR DE FIGUIER,NOT_FOUND,NO_CORPUS_CODE_MATCH,,NO_MATCH,0,,
995-ZAR,,POUR FEMME,NOT_FOUND,NO_CORPUS_CODE_MATCH,,MULTIPLE_EXACT,2,117994|87316,https://www.fragrantica.com/perfume/Amoret/Pour-Femme-117994.html|https://www.fragrantica.com/perfume/Camille-Rochelle/Pour-Femme-87316.html
1000-ADO,,AGUA FRESCA,NOT_FOUND,NO_CORPUS_CODE_MATCH,,UNIQUE_EXACT,1,9783,https://www.fragrantica.com/perfume/Adolfo-Dominguez/Agua-Fresca-9783.html
1001-ANT,,KING OF SEDUCTION,NOT_FOUND,NO_CORPUS_CODE_MATCH,,UNIQUE_EXACT,1,26412,https://www.fragrantica.com/perfume/Antonio-Banderas/King-of-Seduction-26412.html
1044-CAL,,ETERNITY,NOT_FOUND,NO_CORPUS_CODE_MATCH,,UNIQUE_EXACT,1,257,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-257.html
1076-DRC,,FAHRENEIT,NOT_FOUND,NO_CORPUS_CODE_MATCH,,NO_MATCH,0,,
1081-DRC,,HOMME EAU,NOT_FOUND,NO_CORPUS_CODE_MATCH,,BRAND_TOKEN_MATCH,1,22860,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Eau-for-Men-22860.html
1121-GFE,,FERRE MAN,NOT_FOUND,NO_CORPUS_CODE_MATCH,,NO_MATCH,0,,
1196-LAC,,L.12.12 MAGNETIC,NOT_FOUND,NO_CORPUS_CODE_MATCH,,NO_MATCH,0,,
1220-MOS,,Toy,NOT_FOUND,NO_CORPUS_CODE_MATCH,,UNIQUE_EXACT,1,28805,https://www.fragrantica.com/perfume/Moschino/Toy-28805.html
1244-PRA,,PRADA AMBER POUR HOMME,NOT_FOUND,NO_CORPUS_CODE_MATCH,,BRAND_TOKEN_MATCH,2,1044|11240,https://www.fragrantica.com/perfume/Prada/Prada-Amber-Pour-Homme-Prada-Man-1044.html|https://www.fragrantica.com/perfume/Prada/Prada-Amber-Pour-Homme-Intense-11240.html
1486-TRU,,TRUSSARDI UOMO,NOT_FOUND,NO_CORPUS_CODE_MATCH,,UNIQUE_EXACT,1,1039,https://www.fragrantica.com/perfume/Trussardi/Trussardi-Uomo-1039.html
1489-DAV,,HORIZON,NOT_FOUND,NO_CORPUS_CODE_MATCH,,UNIQUE_EXACT,1,35819,https://www.fragrantica.com/perfume/Davidoff/Horizon-35819.html
1491-CAL,,OBSESSED FOR MEN,NOT_FOUND,NO_CORPUS_CODE_MATCH,,UNIQUE_EXACT,1,45709,https://www.fragrantica.com/perfume/Calvin-Klein/Obsessed-for-Men-45709.html
1494-BOD,,RED MUSK OUD,NOT_FOUND,NO_CORPUS_CODE_MATCH,,NO_MATCH,0,,
1523-AFN,,DEHN AL OUDH ABIYAD,NOT_FOUND,NO_CORPUS_CODE_MATCH,,UNIQUE_EXACT,1,27357,https://www.fragrantica.com/perfume/Afnan/Dehn-al-Oudh-Abiyad-27357.html
1526-AL HAR,,MUKHALLAT AL EMIRATES,NOT_FOUND,NO_CORPUS_CODE_MATCH,,NO_MATCH,0,,
1534-SWI,,SWISS ARMY VICTORINOX,NOT_FOUND,NO_CORPUS_CODE_MATCH,,NO_MATCH,0,,
1550-YAN,2331,HOME SWEET HOME - YANKEE,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,
1628-AL HAR,,WARDIA,NOT_FOUND,NO_CORPUS_CODE_MATCH,,UNIQUE_EXACT,1,19945,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Wardia-19945.html
1629-AL HAR,,MUSK MALIKI,NOT_FOUND,NO_CORPUS_CODE_MATCH,,MULTIPLE_EXACT,2,48224|70385,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Musk-Maliki-48224.html|https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Musk-Maliki-70385.html
1636-KIL,,PEARL OUD,NOT_FOUND,NO_CORPUS_CODE_MATCH,,UNIQUE_EXACT,1,31395,https://www.fragrantica.com/perfume/By-Kilian/Pearl-Oud-31395.html
1644-DRC,,SAUVAGE ELIXIR,NOT_FOUND,NO_CORPUS_CODE_MATCH,,UNIQUE_EXACT,1,68415,https://www.fragrantica.com/perfume/Dior/Sauvage-Elixir-68415.html
1649-GIV,,L INTERDIT INTENSE,NOT_FOUND,NO_CORPUS_CODE_MATCH,,BRAND_TOKEN_MATCH,1,62491,https://www.fragrantica.com/perfume/Givenchy/L-Interdit-Eau-de-Parfum-Intense-62491.html
1748-BYR,2602,Marijuana,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,
1767-LTN,,ATTRAPE REVES,NOT_FOUND,NO_CORPUS_CODE_MATCH,,UNIQUE_EXACT,1,51016,https://www.fragrantica.com/perfume/Louis-Vuitton/Attrape-Reves-51016.html
1781-LAC,,TOUCH OF SUN,NOT_FOUND,NO_CORPUS_CODE_MATCH,,NO_MATCH,0,,
1783-AL HAR,,SULTAN,NOT_FOUND,NO_CORPUS_CODE_MATCH,,UNIQUE_EXACT,1,19846,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Sultan-19846.html
1808-LTN,,MILLE FEUX,NOT_FOUND,NO_CORPUS_CODE_MATCH,,UNIQUE_EXACT,1,40497,https://www.fragrantica.com/perfume/Louis-Vuitton/Mille-Feux-40497.html
1869-DOL,,BY,NOT_FOUND,NO_CORPUS_CODE_MATCH,,MULTIPLE_EXACT,2,489|490,https://www.fragrantica.com/perfume/Dolce-Gabbana/By-489.html|https://www.fragrantica.com/perfume/Dolce-Gabbana/By-490.html
1950-SWISA,,AL AMAKEN,NOT_FOUND,NO_CORPUS_CODE_MATCH,,UNIQUE_EXACT,1,22928,https://www.fragrantica.com/perfume/Swiss-Arabian/Al-Amaken-22928.html
1955-LAP,,CELLULAR ENERGIZING,NOT_FOUND,NO_CORPUS_CODE_MATCH,,NO_MATCH,0,,
2085-CLIV,3455,X NEROLI LIMITED EDITION - CLIVE CHRISTIAN,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,
2106-MARC,,B683,NOT_FOUND,NO_CORPUS_CODE_MATCH,,UNIQUE_EXACT,1,46802,https://www.fragrantica.com/perfume/Marc-Antoine-Barrois/B683-46802.html
2133-FRE,3567,Lipstick Rose Eau de Parfum,NOT_FOUND,NO_CORPUS_CODE_MATCH,,NO_MATCH,0,,
