shobi_code,shobi_name,classification,historical_id,historical_in_local,historical_local_brand,historical_local_name,historical_local_url,historical_score,historical_coverage,top_local_id,top_local_brand,top_local_name,top_local_url,top_score,top_coverage
743-JUS,Girlfriend,HIST_ID_ABSENT_FROM_LOCAL,15287,no,,,,0.0000,0.0000,132631,Sorce,Your Girlfriend is a Badass,https://www.fragrantica.com/perfume/Sorce/Your-Girlfriend-is-a-Badass-132631.html,0.6000,1.0000
744-JUS,The Key,HIST_ID_ABSENT_FROM_LOCAL,18665,no,,,,0.0000,0.0000,28654,Cindy C,Cindy Key,https://www.fragrantica.com/perfume/Cindy-C/Cindy-Key-28654.html,0.7500,1.0000
745-KAR,Karl Lagerfeld for Her Eau de Parfum,HIST_ID_ABSENT_FROM_LOCAL,24068,no,,,,0.0000,0.0000,95828,Cavalinho,Cavalinho Gold For Her,https://www.fragrantica.com/perfume/Cavalinho/Cavalinho-Gold-For-Her-95828.html,0.4783,0.3333
746-KAR,Ocean View,HIST_ID_ABSENT_FROM_LOCAL,35570,no,,,,0.0000,0.0000,60234,Dilis Parfum,Twee Ocean,https://www.fragrantica.com/perfume/Dilis-Parfum/Twee-Ocean-60234.html,0.3846,0.5000
755-KEN,SUMMER - KENZO,HIST_ID_CONFIRMED_LOCAL,76,yes,Kenzo,Summer by Kenzo,https://www.fragrantica.com/perfume/Kenzo/Summer-by-Kenzo-76.html,1.0000,1.0000,76,Kenzo,Summer by Kenzo,https://www.fragrantica.com/perfume/Kenzo/Summer-by-Kenzo-76.html,1.0000,1.0000
770-LAP,Midnight Rain,HIST_ID_ABSENT_FROM_LOCAL,824,no,,,,0.0000,0.0000,58744,Al Rehab,Midnight,https://www.fragrantica.com/perfume/Al-Rehab/Midnight-58744.html,0.5333,0.5000
771-LAP,Silver Rain,HIST_ID_ABSENT_FROM_LOCAL,823,no,,,,0.0000,0.0000,126381,Beard Monkey,Silver Rain,https://www.fragrantica.com/perfume/Beard-Monkey/Silver-Rain-126381.html,0.7500,1.0000
772-LAD,Fame,HIST_ID_ABSENT_FROM_LOCAL,15338,no,,,,0.0000,0.0000,83498,Rabanne,Fame Parfum,https://www.fragrantica.com/perfume/Rabanne/Fame-Parfum-83498.html,0.7500,1.0000
799-LANV,Eclat-d-arpege-eau-de-,HIST_ID_ABSENT_FROM_LOCAL,988,no,,,,0.0000,0.0000,107192,Badar,Rouge Eclat,https://www.fragrantica.com/perfume/Badar/Rouge-Eclat-107192.html,0.3750,0.5000
800-LANV,Me,HIST_ID_ABSENT_FROM_LOCAL,17701,no,,,,0.0000,0.0000,112304,AENYOE1,Me,https://www.fragrantica.com/perfume/AENYOE1/Me-112304.html,0.7500,1.0000
801-LANV,Marry Me,HIST_ID_ABSENT_FROM_LOCAL,9405,no,,,,0.0000,0.0000,96098,ByBozo,Will You Marry Me,https://www.fragrantica.com/perfume/ByBozo/Will-You-Marry-Me-96098.html,0.7000,1.0000
802-LBI,VENEZIA - LAURA BIAGIOTTI,HIST_ID_ABSENT_FROM_LOCAL,625,no,,,,0.0000,0.0000,,,,,0.0000,0.0000
805-LOL,L DE LOLITA LEMPICKA,HIST_ID_ABSENT_FROM_LOCAL,455,no,,,,0.0000,0.0000,94766,MAISON ASRAR,Lolita,https://www.fragrantica.com/perfume/MAISON-ASRAR/Lolita-94766.html,0.3750,0.5000
806-LOL,L Eau Jolie,HIST_ID_ABSENT_FROM_LOCAL,17936,no,,,,0.0000,0.0000,14946,Azzaro,Jolie Rose,https://www.fragrantica.com/perfume/Azzaro/Jolie-Rose-14946.html,0.6667,1.0000
807-LOL,LOLITA - LOLITA LEMPICKA,HIST_ID_ABSENT_FROM_LOCAL,456,no,,,,0.0000,0.0000,94766,MAISON ASRAR,Lolita,https://www.fragrantica.com/perfume/MAISON-ASRAR/Lolita-94766.html,0.4390,0.5000
808-LOL,Sweet,HIST_ID_ABSENT_FROM_LOCAL,28177,no,,,,0.0000,0.0000,16570,Zara,Sweet,https://www.fragrantica.com/perfume/Zara/Sweet-16570.html,0.7500,1.0000
816-MAX,MAX MARA,HIST_ID_ABSENT_FROM_LOCAL,204,no,,,,0.0000,0.0000,55558,Natura,K Max,https://www.fragrantica.com/perfume/Natura/K-Max-55558.html,0.4167,0.5000
817-MIC,Gold Collection  24k Brilliant Gold,HIST_ID_ABSENT_FROM_LOCAL,31341,no,,,,0.0000,0.0000,125159,Dorall Collection,Monte Carlo Oud,https://www.fragrantica.com/perfume/Dorall-Collection/Monte-Carlo-Oud-125159.html,0.5672,0.2500
818-MIC,Michael Kors Coral,HIST_ID_ABSENT_FROM_LOCAL,32739,no,,,,0.0000,0.0000,68626,Michael Kors,Super Gorgeous,https://www.fragrantica.com/perfume/Michael-Kors/Super-Gorgeous-68626.html,0.6667,0.6667
819-MIC,SEXY AMBER - KORS,HIST_ID_ABSENT_FROM_LOCAL,18161,no,,,,0.0000,0.0000,43516,Aerin,Amber Musk d Or,https://www.fragrantica.com/perfume/Aerin/Amber-Musk-d-Or-43516.html,0.6471,0.3333
820-MIC,SEXY RIO DE JANEIRO KORS,HIST_ID_ABSENT_FROM_LOCAL,27497,no,,,,0.0000,0.0000,82594,Sol de Janeiro,Do Not Disturb,https://www.fragrantica.com/perfume/Sol-de-Janeiro/Do-Not-Disturb-82594.html,0.5532,0.2500
821-MIC,SEXY SUNSET - KORS,HIST_ID_ABSENT_FROM_LOCAL,34276,no,,,,0.0000,0.0000,25305,Victoria s Secret,Sunset,https://www.fragrantica.com/perfume/Victoria-s-Secret/Sunset-25305.html,0.4737,0.3333
822-MIC,Sexy-ruby-glam-ruby,HIST_ID_ABSENT_FROM_LOCAL,46182,no,,,,0.0000,0.0000,31020,Bebe,Glam,https://www.fragrantica.com/perfume/Bebe/Glam-31020.html,0.5000,0.3333
823-MIC,Sporty Citrus,HIST_ID_ABSENT_FROM_LOCAL,18160,no,,,,0.0000,0.0000,140490,Celio,Citrus,https://www.fragrantica.com/perfume/Celio/Citrus-140490.html,0.6400,0.5000
824-MIC,Gold Collection  White Luminous Gold,HIST_ID_ABSENT_FROM_LOCAL,31343,no,,,,0.0000,0.0000,12262,Hugo Boss,BOSS The Collection Wool Musk,https://www.fragrantica.com/perfume/Hugo-Boss/BOSS-The-Collection-Wool-Musk-12262.html,0.5429,0.2500
825-MIC,Wonderlust,HIST_ID_ABSENT_FROM_LOCAL,39459,no,,,,0.0000,0.0000,,,,,0.0000,0.0000
827-MISN,Missoni,HIST_ID_ABSENT_FROM_LOCAL,1069,no,,,,0.0000,0.0000,,,,,0.0000,0.0000
828-MIY,L' EAU BLEUE,HIST_ID_ABSENT_FROM_LOCAL,42720,no,,,,0.0000,0.0000,52874,Conde Parfum,Cologne Bleue,https://www.fragrantica.com/perfume/Conde-Parfum/Cologne-Bleue-52874.html,0.6667,1.0000
829-MNTB,FEMME - MONT BLANC,HIST_ID_PRESENT_NEEDS_REVIEW,833,yes,Montblanc,Femme de Montblanc,https://www.fragrantica.com/perfume/Montblanc/Femme-de-Montblanc-833.html,0.6207,0.0000,100878,Bachs,Blanc,https://www.fragrantica.com/perfume/Bachs/Blanc-100878.html,0.5714,0.5000
831-MOS,Cheap And Chic,HIST_ID_CONFIRMED_LOCAL,727,yes,Moschino,Cheap Chic,https://www.fragrantica.com/perfume/Moschino/Cheap-Chic-727.html,0.8333,1.0000,727,Moschino,Cheap Chic,https://www.fragrantica.com/perfume/Moschino/Cheap-Chic-727.html,0.8333,1.0000
834-MOS,Cheap  Chic  So Real,HIST_ID_CONFIRMED_LOCAL,46867,yes,Moschino,So Real Cheap Chic,https://www.fragrantica.com/perfume/Moschino/So-Real-Cheap-Chic-46867.html,0.9000,1.0000,46867,Moschino,So Real Cheap Chic,https://www.fragrantica.com/perfume/Moschino/So-Real-Cheap-Chic-46867.html,0.9000,1.0000
840-NAO,Naomi Campbell,HIST_ID_ABSENT_FROM_LOCAL,905,no,,,,0.0000,0.0000,,,,,0.0000,0.0000
841-NRO,FLEUR MUSK FOR HER - RODRIGUEZ,HIST_ID_PRESENT_NEEDS_REVIEW,42580,yes,Narciso Rodriguez,Narciso Rodriguez Fleur Musc for Her,https://www.fragrantica.com/perfume/Narciso-Rodriguez/Narciso-Rodriguez-Fleur-Musc-for-Her-42580.html,0.6250,0.7500,42580,Narciso Rodriguez,Narciso Rodriguez Fleur Musc for Her,https://www.fragrantica.com/perfume/Narciso-Rodriguez/Narciso-Rodriguez-Fleur-Musc-for-Her-42580.html,0.6250,0.7500
842-NRO,FOR HER BLACK EDP - NARCISO RODRIGUEZ,HIST_ID_CONFIRMED_LOCAL,14319,yes,Narciso Rodriguez,Narciso Rodriguez for Her Eau de Parfum,https://www.fragrantica.com/perfume/Narciso-Rodriguez/Narciso-Rodriguez-for-Her-Eau-de-Parfum-14319.html,0.7500,0.7500,209,Narciso Rodriguez,Narciso Rodriguez For Her,https://www.fragrantica.com/perfume/Narciso-Rodriguez/Narciso-Rodriguez-For-Her-209.html,0.7500,0.7500
843-NRO,FOR HER PINK EAU DE TOILETTE - RODRIGUEZ,HIST_ID_CONFLICT_LOCAL_BETTER,209,yes,Narciso Rodriguez,Narciso Rodriguez For Her,https://www.fragrantica.com/perfume/Narciso-Rodriguez/Narciso-Rodriguez-For-Her-209.html,0.5833,0.6667,72604,Narciso Rodriguez,Narciso Rodriguez For Her Pink Edition,https://www.fragrantica.com/perfume/Narciso-Rodriguez/Narciso-Rodriguez-For-Her-Pink-Edition-72604.html,0.8750,1.0000
850-NIN,L'AIR DU TEMPS,HIST_ID_ABSENT_FROM_LOCAL,1014,no,,,,0.0000,0.0000,137076,Dark Tales,Air,https://www.fragrantica.com/perfume/Dark-Tales/Air-137076.html,0.2667,0.3333
851-NIN,L Extase,HIST_ID_ABSENT_FROM_LOCAL,29668,no,,,,0.0000,0.0000,4671,Giorgio Armani,Onde Extase,https://www.fragrantica.com/perfume/Giorgio-Armani/Onde-Extase-4671.html,0.6250,1.0000
852-NIN,Luna,HIST_ID_ABSENT_FROM_LOCAL,39376,no,,,,0.0000,0.0000,139645,Dolce,Luna,https://www.fragrantica.com/perfume/Dolce/Luna-139645.html,0.7500,1.0000
853-NIN,NINA,HIST_ID_ABSENT_FROM_LOCAL,147,no,,,,0.0000,0.0000,84711,Ascania,Nina Nina,https://www.fragrantica.com/perfume/Ascania/Nina-Nina-84711.html,0.7500,1.0000
854-NIN,the fragrance otes of NINA ROUGE,HIST_ID_ABSENT_FROM_LOCAL,56162,no,,,,0.0000,0.0000,120519,Aura Fragrances,Le Aura Rouge,https://www.fragrantica.com/perfume/Aura-Fragrances/Le-Aura-Rouge-120519.html,0.4681,0.2500
857-ONE,You  I,HIST_ID_ABSENT_FROM_LOCAL,26663,no,,,,0.0000,0.0000,52386,AXE,You,https://www.fragrantica.com/perfume/AXE/You-52386.html,0.7500,1.0000
867-PAL,PALOMA PICASSO,HIST_ID_ABSENT_FROM_LOCAL,1009,no,,,,0.0000,0.0000,,,,,0.0000,0.0000
868-PARH,Heiress Limited Edition Eau de Parfum (2015),HIST_ID_ABSENT_FROM_LOCAL,32365,no,,,,0.0000,0.0000,,,,,0.0000,0.0000
869-PIER,EXTATIC - PIERRE BALMAIN,HIST_ID_PRESENT_NEEDS_REVIEW,22817,yes,Balmain Beauty,Extatic,https://www.fragrantica.com/perfume/Balmain-Beauty/Extatic-22817.html,0.5833,0.6667,22817,Balmain Beauty,Extatic,https://www.fragrantica.com/perfume/Balmain-Beauty/Extatic-22817.html,0.5833,0.6667
870-PIER,EXTATIC INTENSE GOLD - PIERRE BALMAIN,HIST_ID_CONFIRMED_LOCAL,28047,yes,Balmain Beauty,Extatic Intense Gold,https://www.fragrantica.com/perfume/Balmain-Beauty/Extatic-Intense-Gold-28047.html,0.7333,0.8000,28047,Balmain Beauty,Extatic Intense Gold,https://www.fragrantica.com/perfume/Balmain-Beauty/Extatic-Intense-Gold-28047.html,0.7333,0.8000
871-PIER,IVOIRE - PIERRE BALMAIN,HIST_ID_PRESENT_NEEDS_REVIEW,15557,yes,Balmain Beauty,Ivoire,https://www.fragrantica.com/perfume/Balmain-Beauty/Ivoire-15557.html,0.5833,0.6667,3815,Balmain Beauty,Eau d Ivoire,https://www.fragrantica.com/perfume/Balmain-Beauty/Eau-d-Ivoire-3815.html,0.5833,0.6667
872-PRA,Candy,HIST_ID_CONFIRMED_LOCAL,12426,yes,Prada,Prada Candy,https://www.fragrantica.com/perfume/Prada/Prada-Candy-12426.html,0.7500,1.0000,12426,Prada,Prada Candy,https://www.fragrantica.com/perfume/Prada/Prada-Candy-12426.html,0.7500,1.0000
877-PRA,INFUSION DE FLEUR D'ORANGER,NEW_LOCAL_STRONG,,no,,,,0.0000,0.0000,5533,Prada,Infusion de Fleur d Oranger,https://www.fragrantica.com/perfume/Prada/Infusion-de-Fleur-d-Oranger-5533.html,0.8800,1.0000
892-RCAV,JUST HER - ROBERTO CAVALLI,HIST_ID_ABSENT_FROM_LOCAL,847,no,,,,0.0000,0.0000,31285,Avon,Avon Sport for Her Vitality,https://www.fragrantica.com/perfume/Avon/Avon-Sport-for-Her-Vitality-31285.html,0.4231,0.2500
893-RCAV,NERO ASSOLUTO - CAVALLI,HIST_ID_ABSENT_FROM_LOCAL,18833,no,,,,0.0000,0.0000,15514,Valentino,Valentina Assoluto,https://www.fragrantica.com/perfume/Valentino/Valentina-Assoluto-15514.html,0.4490,0.3333
894-RCAV,Paradiso,HIST_ID_ABSENT_FROM_LOCAL,28609,no,,,,0.0000,0.0000,74932,AzherOud,Paradiso,https://www.fragrantica.com/perfume/AzherOud/Paradiso-74932.html,0.7500,1.0000
895-RCAV,SERPENTINE - CAVALLI,HIST_ID_ABSENT_FROM_LOCAL,837,no,,,,0.0000,0.0000,95364,Sorce,Serpentine,https://www.fragrantica.com/perfume/Sorce/Serpentine-95364.html,0.5882,0.5000
896-RCAV,Splendid-vanilla,HIST_ID_ABSENT_FROM_LOCAL,58538,no,,,,0.0000,0.0000,104156,Alchemia,Vanilla,https://www.fragrantica.com/perfume/Alchemia/Vanilla-104156.html,0.6875,0.5000
897-RCAV,Tiger Oud,HIST_ID_ABSENT_FROM_LOCAL,22194,no,,,,0.0000,0.0000,25981,Cartier,Oud Oud,https://www.fragrantica.com/perfume/Cartier/Oud-Oud-25981.html,0.6667,0.5000
898-ROC,AQUA WOMAN - ROCHAS,HIST_ID_ABSENT_FROM_LOCAL,1427,no,,,,0.0000,0.0000,48601,Zara,Femme Aqua,https://www.fragrantica.com/perfume/Zara/Femme-Aqua-48601.html,0.4167,0.5000
899-ROC,MADEMOISSELE - ROCHAS,HIST_ID_ABSENT_FROM_LOCAL,43205,no,,,,0.0000,0.0000,,,,,0.0000,0.0000
900-ROG,FLEUR DE FIGUIER,NEW_LOCAL_REVIEW,,no,,,,0.0000,0.0000,23550,Chabaud Maison de Parfum,Fleur de Figuier,https://www.fragrantica.com/perfume/Chabaud-Maison-de-Parfum/Fleur-de-Figuier-23550.html,0.7500,1.0000
901-ROG,ROSE,HIST_ID_ABSENT_FROM_LOCAL,3482,no,,,,0.0000,0.0000,63248,Zara,R Rose,https://www.fragrantica.com/perfume/Zara/R-Rose-63248.html,0.7500,1.0000
902-SALV,Dalissime,HIST_ID_ABSENT_FROM_LOCAL,970,no,,,,0.0000,0.0000,,,,,0.0000,0.0000
904-SALV,SALVADOR DALI fragrances,HIST_ID_ABSENT_FROM_LOCAL,765,no,,,,0.0000,0.0000,64084,Alexandria Fragrances,H Ani,https://www.fragrantica.com/perfume/Alexandria-Fragrances/H-Ani-64084.html,0.6939,0.3333
905-SFER,AMO - S.FERRAGAMO,HIST_ID_ABSENT_FROM_LOCAL,46832,no,,,,0.0000,0.0000,33356,Natura,Amo,https://www.fragrantica.com/perfume/Natura/Amo-33356.html,0.4167,0.5000
906-SFER,EMOZIONE - S.FERRAGAMO,HIST_ID_ABSENT_FROM_LOCAL,28117,no,,,,0.0000,0.0000,,,,,0.0000,0.0000
907-SFER,SIGNORINA - FERRAGAMO,HIST_ID_ABSENT_FROM_LOCAL,13639,no,,,,0.0000,0.0000,,,,,0.0000,0.0000
