shobi_code,prestashop_product_id,shobi_inspired_by,classification,reason,match_type,corpus_status,candidate_count,candidate_fids,candidate_urls,refined_status,refined_candidates,refined_urls
313-MOL,1210,thai vert-mol,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,,REFINED_REVIEW,8801:0.940|101734:0.940|56381:0.940|43649:0.940|771:0.940,https://www.fragrantica.com/perfume/DS-Durga/-8801.html|https://www.fragrantica.com/perfume/Lush/AI-101734.html|https://www.fragrantica.com/perfume/Lush/V-56381.html|https://www.fragrantica.com/perfume/O-Boticario/Vert-43649.html|https://www.fragrantica.com/perfume/Valentino/V-771.html
314-MOL,1904,ZIAO JAO - MOLTON BROWN,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,,REFINED_REVIEW,8801:0.940|63224:0.940|34189:0.940|118715:0.940|75424:0.940,https://www.fragrantica.com/perfume/DS-Durga/-8801.html|https://www.fragrantica.com/perfume/Lush/Brown-63224.html|https://www.fragrantica.com/perfume/Natura/Z-34189.html|https://www.fragrantica.com/perfume/Ahmed-Al-Maghribi/Brown-118715.html|https://www.fragrantica.com/perfume/Toskovat/A-75424.html
326-PECK,1221,CALM - PECKSNIFF'S,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,,REFINED_REVIEW,77737:0.940|8801:0.940|46843:0.940|74513:0.940|75424:0.940,https://www.fragrantica.com/perfume/Avon/Calm-77737.html|https://www.fragrantica.com/perfume/DS-Durga/-8801.html|https://www.fragrantica.com/perfume/Natura/K-46843.html|https://www.fragrantica.com/perfume/Victoria-s-Secret/Calm-74513.html|https://www.fragrantica.com/perfume/Toskovat/A-75424.html
330-PG,,ORIENTAL BLOSSOM,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,,REFINED_REVIEW,20063:0.940|8801:0.940|4522:0.940|16574:0.940|75424:0.940,https://www.fragrantica.com/perfume/Al-Rehab/Orient-20063.html|https://www.fragrantica.com/perfume/DS-Durga/-8801.html|https://www.fragrantica.com/perfume/Etat-Libre-d-Orange/Rien-4522.html|https://www.fragrantica.com/perfume/Zara/Oriental-16574.html|https://www.fragrantica.com/perfume/Toskovat/A-75424.html
331-PG,,CRYSTAL WATER & WATER LILY,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,,REFINED_REVIEW,20138:0.940|82210:0.940|8801:0.940|2002:0.940|34188:0.940,https://www.fragrantica.com/perfume/Al-Rehab/Crystal-20138.html|https://www.fragrantica.com/perfume/Avon/Lily-82210.html|https://www.fragrantica.com/perfume/DS-Durga/-8801.html|https://www.fragrantica.com/perfume/Dior/Lily-2002.html|https://www.fragrantica.com/perfume/Natura/Y-34188.html
334-SHI,,SHIRLEY MAY,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,,REFINED_REVIEW,8801:0.940|34188:0.940|100:0.940|75424:0.940|1638:0.940,https://www.fragrantica.com/perfume/DS-Durga/-8801.html|https://www.fragrantica.com/perfume/Natura/Y-34188.html|https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Y-100.html|https://www.fragrantica.com/perfume/Toskovat/A-75424.html|https://www.fragrantica.com/perfume/Alfred-Sung/Shi-1638.html
335-THCO,1231,CASHMERE BLANC - THE WHITE COMPANY,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,,HOME_NO_PERFUME,,
336-THCO,1232,NARCISSUS NOIR - THE WHITE COMPANY,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,,HOME_NO_PERFUME,,
379-YAN,1263,CLEAN COTTON - YANKEE CANDLES,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,,HOME_NO_PERFUME,,
380-YAN,1264,FALL FESTIVAL - YANKEE CANDLES,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,,HOME_NO_PERFUME,,
