product_id,code,reference,category,inspired_by,url
831,777-LAL WP,WP331,Fragrances For Women,SCULPTEUR D' EPICES - LALIQUE,https://leparfum.com.gr/en/fragrances-for-women/sculpteur-epices-lalique-woman#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml
502,390-ACQ,WP002,Fragrances For Women,Mandorlo di Sicilia,https://leparfum.com.gr/en/fragrances-for-women/390-acq#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml
284,777-LAL WP,MP184,Fragrances For Men,,https://leparfum.com.gr/en/fragrances-for-men/sculpteur-d-epices-lalique-type#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml
106,390-ACQ,MP006,Fragrances For Men,BLU MEDITERRANEO MANDORLO DI SICILIA,https://leparfum.com.gr/en/fragrances-for-men/390-acq#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml
