shobi_code,shobi_name,old_classification,old_brand_hint,old_brand_source,old_cand1_id,fallback_classification,fallback_margin,cand1_id,cand1_brand,cand1_name,cand1_score,cand1_url,cand2_id,cand2_brand,cand2_name,cand2_score,cand2_url,cand3_id,cand3_brand,cand3_name,cand3_score,cand3_url,cand4_id,cand4_brand,cand4_name,cand4_score,cand4_url,cand5_id,cand5_brand,cand5_name,cand5_score,cand5_url
738-JUI,VIVA LA JUICY,WEAK_REVIEW,,,42507,GLOBAL_WEAK,0.0000,42507,Avon,Viva la Vita,0.7200,https://www.fragrantica.com/perfume/Avon/Viva-la-Vita-42507.html,30418,Bi es,Viva La Vida,0.7200,https://www.fragrantica.com/perfume/Bi-es/Viva-La-Vida-30418.html,114073,Avon,Viva La Vita Limited Edition,0.6667,https://www.fragrantica.com/perfume/Avon/Viva-La-Vita-Limited-Edition-114073.html,42456,Zara,Ultra Juicy,0.6667,https://www.fragrantica.com/perfume/Zara/Ultra-Juicy-42456.html,,,,,
741-JUI,Viva La Juicy Rosé,WEAK_REVIEW,,,96717,GLOBAL_WEAK,0.0000,96717,Zimaya,A La Rose,0.6667,https://www.fragrantica.com/perfume/Zimaya/A-La-Rose-96717.html,29083,Maison Francis Kurkdjian,A La Rose,0.6667,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/A-La-Rose-29083.html,29610,Au Pays de la Fleur d Oranger,La Rose,0.6667,https://www.fragrantica.com/perfume/Au-Pays-de-la-Fleur-d-Oranger/La-Rose-29610.html,55118,Maison Francis Kurkdjian,L eau A la Rose,0.6667,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/L-eau-A-la-Rose-55118.html,61779,Maison Francis Kurkdjian,L Homme A la Rose,0.6667,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/L-Homme-A-la-Rose-61779.html
744-JUS,The Key,WEAK_REVIEW,,,126270,GLOBAL_WEAK,0.0000,126270,MAISON ASRAR,Love Key,0.6667,https://www.fragrantica.com/perfume/MAISON-ASRAR/Love-Key-126270.html,103888,Brocard,Encoder Key,0.6667,https://www.fragrantica.com/perfume/Brocard/Encoder-Key-103888.html,28654,Cindy C,Cindy Key,0.6667,https://www.fragrantica.com/perfume/Cindy-C/Cindy-Key-28654.html,28664,Cindy C,Cindy Key,0.6667,https://www.fragrantica.com/perfume/Cindy-C/Cindy-Key-28664.html,,,,,
745-KAR,Karl Lagerfeld for Her Eau de Parfum,WEAK_REVIEW,,,48800,GLOBAL_WEAK,0.0073,48800,Rabanne,Black XS for Her Eau de Parfum,0.7273,https://www.fragrantica.com/perfume/Rabanne/Black-XS-for-Her-Eau-de-Parfum-48800.html,14319,Narciso Rodriguez,Narciso Rodriguez for Her Eau de Parfum,0.7200,https://www.fragrantica.com/perfume/Narciso-Rodriguez/Narciso-Rodriguez-for-Her-Eau-de-Parfum-14319.html,95268,Davidoff,Cool Water Reborn For Her Eau de Parfum Intense,0.6747,https://www.fragrantica.com/perfume/Davidoff/Cool-Water-Reborn-For-Her-Eau-de-Parfum-Intense-95268.html,15478,Narciso Rodriguez,Narciso Rodriguez for Her Extrait de Parfum,0.6582,https://www.fragrantica.com/perfume/Narciso-Rodriguez/Narciso-Rodriguez-for-Her-Extrait-de-Parfum-15478.html,,,,,
746-KAR,Ocean View,WEAK_REVIEW,,,139608,GLOBAL_WEAK,0.0000,112762,Bentala Fragrances,Ocean Vista,0.7619,https://www.fragrantica.com/perfume/Bentala-Fragrances/Ocean-Vista-112762.html,139608,Bujairami,Ocean Waves,0.7619,https://www.fragrantica.com/perfume/Bujairami/Ocean-Waves-139608.html,89936,Dom Do,Ocean Skin,0.7000,https://www.fragrantica.com/perfume/Dom-Do/Ocean-Skin-89936.html,112838,Athena Fragrances,Ocean Noir,0.7000,https://www.fragrantica.com/perfume/Athena-Fragrances/Ocean-Noir-112838.html,93498,Zara,Ocean Blue,0.7000,https://www.fragrantica.com/perfume/Zara/Ocean-Blue-93498.html
770-LAP,Midnight Rain,WEAK_REVIEW,,,126942,GLOBAL_WEAK,0.0338,126942,PARIS CORNER,Midnight Sin,0.8800,https://www.fragrantica.com/perfume/PARIS-CORNER/Midnight-Sin-126942.html,132391,Bluehill,Midnight Ride,0.8462,https://www.fragrantica.com/perfume/Bluehill/Midnight-Ride-132391.html,23574,Ralph Lauren,Midnight Romance,0.8276,https://www.fragrantica.com/perfume/Ralph-Lauren/Midnight-Romance-23574.html,32778,Byredo,Midnight Candy,0.8148,https://www.fragrantica.com/perfume/Byredo/Midnight-Candy-32778.html,132955,Bargello,Midnight Flora,0.8148,https://www.fragrantica.com/perfume/Bargello/Midnight-Flora-132955.html
772-LAD,Fame,WEAK_REVIEW,,,119545,GLOBAL_WEAK,0.0000,119545,Aura Budapest,Fame,1.0000,https://www.fragrantica.com/perfume/Aura-Budapest/Fame-119545.html,37872,Corday,Fame,1.0000,https://www.fragrantica.com/perfume/Corday/Fame-37872.html,100965,Rasasi,Fame,1.0000,https://www.fragrantica.com/perfume/Rasasi/Fame-100965.html,74962,Rabanne,Fame,1.0000,https://www.fragrantica.com/perfume/Rabanne/Fame-74962.html,83498,Rabanne,Fame Parfum,1.0000,https://www.fragrantica.com/perfume/Rabanne/Fame-Parfum-83498.html
799-LANV,Eclat-d-arpege-eau-de-,WEAK_REVIEW,,,34152,GLOBAL_WEAK,0.0000,34152,Al Battash Classic,Eclat Pour Femme,0.6667,https://www.fragrantica.com/perfume/Al-Battash-Classic/Eclat-Pour-Femme-34152.html,34154,Al Battash Classic,Eclat Pour Homme,0.6667,https://www.fragrantica.com/perfume/Al-Battash-Classic/Eclat-Pour-Homme-34154.html,84715,Ascania,Eclat,0.6667,https://www.fragrantica.com/perfume/Ascania/Eclat-84715.html,,,,,,,,,,
800-LANV,Me,WEAK_REVIEW,,,17764,GLOBAL_WEAK,0.0000,58119,Be Layered,Me,1.0000,https://www.fragrantica.com/perfume/Be-Layered/Me-58119.html,72225,Cult For,Me,1.0000,https://www.fragrantica.com/perfume/Cult-For/Me-72225.html,112304,AENYOE1,Me,1.0000,https://www.fragrantica.com/perfume/AENYOE1/Me-112304.html,17764,American Eagle,Me,1.0000,https://www.fragrantica.com/perfume/American-Eagle/Me-17764.html,38326,Armand Basi,In Me,0.6667,https://www.fragrantica.com/perfume/Armand-Basi/In-Me-38326.html
801-LANV,Marry Me,WEAK_REVIEW,,,68723,GLOBAL_WEAK,0.0833,68723,Rabanne,Major Me,0.7500,https://www.fragrantica.com/perfume/Rabanne/Major-Me-68723.html,96098,ByBozo,Will You Marry Me,0.6667,https://www.fragrantica.com/perfume/ByBozo/Will-You-Marry-Me-96098.html,59251,All Your Personal Aroma,Marry Me On Thursday,0.6667,https://www.fragrantica.com/perfume/All-Your-Personal-Aroma/Marry-Me-On-Thursday-59251.html,58119,Be Layered,Me,0.6667,https://www.fragrantica.com/perfume/Be-Layered/Me-58119.html,72225,Cult For,Me,0.6667,https://www.fragrantica.com/perfume/Cult-For/Me-72225.html
